variant,context_id,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,shadow_score,best_second_margin,frozen_beta_name,changed_from_frozen,frozen_oracle_score,shadow_beta_frozen_score,frozen_score_sacrifice
baseline,rough_seed_7,wm000_ws060_we040,grid,0.0,0.6,0.4,lm020_ls020_le060,0.0,0.19949071832047377,lm020_ls020_le060,0,0.0,0.0,0.0
baseline,rough_seed_7,wm000_ws040_we060,grid,0.0,0.4,0.6,lm020_ls020_le060,0.0,0.2048094325747297,lm020_ls020_le060,0,0.0,0.0,0.0
baseline,rough_seed_7,wm000_ws020_we080,grid,0.0,0.2,0.8,lm020_ls020_le060,0.0,0.20389639244246785,lm020_ls020_le060,0,0.0,0.0,0.0
baseline,rough_seed_7,wm000_ws000_we100,grid,0.0,0.0,1.0,lm020_ls020_le060,0.0,0.2527914116813207,lm020_ls020_le060,0,0.0,0.0,0.0
baseline,rough_seed_7,balanced,canonical,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm000_ls060_le040,0.22386239429317928,0.0060408283621881664,lm000_ls060_le040,0,0.22386239429317928,0.22386239429317928,0.0
baseline,rough_seed_7,motion,canonical,0.7,0.15,0.15,lm000_ls100_le000,0.11065640030868305,0.007110061757766156,lm000_ls100_le000,0,0.11065640030868305,0.11065640030868305,0.0
baseline,rough_seed_7,stability,canonical,0.15,0.7,0.15,lm020_ls020_le060,0.1515,0.01860481950801679,lm020_ls020_le060,0,0.1515,0.1515,0.0
baseline,rough_seed_7,energy,canonical,0.15,0.15,0.7,lm020_ls020_le060,0.1515,0.027372298045537424,lm020_ls020_le060,0,0.1515,0.1515,0.0
baseline,rough_seed_15,wm100_ws000_we000,grid,1.0,0.0,0.0,lm040_ls060_le000,0.0,0.04825592614862224,lm040_ls060_le000,0,0.0,0.0,0.0
baseline,rough_seed_15,wm080_ws020_we000,grid,0.8,0.2,0.0,lm080_ls020_le000,0.0962897550200626,0.010543427986957163,lm080_ls020_le000,0,0.0962897550200626,0.0962897550200626,0.0
