descriptor,variant,test_context,nearest_context,preference_name,transferred_beta,shadow_oracle_beta,exact,shadow_oracle_score,transferred_score,score_excess
v1,baseline,rough_seed_0,rough_seed_20,wm040_ws000_we060,lm060_ls020_le020,lm100_ls000_le000,0,0.04247880443964593,0.20147437864055162,0.15899557420090568
v1,baseline,rough_seed_0,rough_seed_20,wm020_ws080_we000,lm020_ls020_le060,lm060_ls000_le040,0,0.1364945676812423,0.2810911202354776,0.1445965525542353
v1,baseline,rough_seed_0,rough_seed_20,wm020_ws060_we020,lm000_ls040_le060,lm000_ls060_le040,0,0.14786028400704418,0.20295013725491012,0.055089853247865944
v1,baseline,rough_seed_0,rough_seed_20,wm020_ws040_we040,lm000_ls060_le040,lm000_ls040_le060,0,0.2039002745098202,0.2821195723939319,0.07821929788411167
v1,baseline,rough_seed_0,rough_seed_20,wm020_ws020_we060,lm060_ls020_le020,lm100_ls000_le000,0,0.13148471754661642,0.20263047087660122,0.0711457533299848
v1,baseline,rough_seed_0,rough_seed_20,wm020_ws000_we080,lm060_ls020_le020,lm100_ls000_le000,0,0.021239402219822966,0.2678781260739489,0.24663872385412594
v1,baseline,rough_seed_0,rough_seed_20,wm000_ws100_we000,lm000_ls000_le100,lm000_ls040_le060,0,0.0,1.0077251938548986,1.0077251938548986
v1,baseline,rough_seed_0,rough_seed_20,wm000_ws080_we020,lm000_ls040_le060,lm000_ls040_le060,1,0.09596386274592054,0.09596386274592054,0.0
v1,baseline,rough_seed_0,rough_seed_20,wm000_ws060_we040,lm000_ls040_le060,lm000_ls040_le060,1,0.1919277254918411,0.1919277254918411,0.0
v1,baseline,rough_seed_0,rough_seed_20,wm000_ws040_we060,lm080_ls000_le020,lm100_ls000_le000,0,0.26254885287105817,0.4874634161028164,0.22491456323175824
v1,baseline,rough_seed_0,rough_seed_20,wm000_ws020_we080,lm060_ls020_le020,lm100_ls000_le000,0,0.13127442643552908,0.2690342183099985,0.13775979187446943
v1,baseline,rough_seed_0,rough_seed_20,wm000_ws000_we100,lm060_ls020_le020,lm100_ls000_le000,0,0.0,0.33428187350734617,0.33428187350734617
v1,baseline,rough_seed_0,rough_seed_20,balanced,lm000_ls060_le040,lm100_ls000_le000,0,0.21914119591102738,0.24608911680050252,0.026947920889475147
v1,baseline,rough_seed_0,rough_seed_20,motion,lm080_ls000_le020,lm100_ls000_le000,0,0.09919183871545255,0.18322463471632114,0.08403279600086859
v1,baseline,rough_seed_0,rough_seed_20,stability,lm000_ls040_le060,lm000_ls060_le040,0,0.11102447170949731,0.15221260294118258,0.04118813123168527
v1,baseline,rough_seed_0,rough_seed_20,energy,lm060_ls020_le020,lm100_ls000_le000,0,0.09861353815996232,0.23554332153428742,0.1369297833743251
v1,baseline,rough_seed_5,rough_seed_17,wm100_ws000_we000,lm060_ls040_le000,lm000_ls100_le000,0,0.0,0.02165912241770377,0.02165912241770377
v1,baseline,rough_seed_5,rough_seed_17,wm080_ws020_we000,lm100_ls000_le000,lm020_ls060_le020,0,0.1417892183131797,0.14277574632460413,0.0009865280114244313
v1,baseline,rough_seed_5,rough_seed_17,wm080_ws000_we020,lm100_ls000_le000,lm060_ls040_le000,0,0.02538358769848591,0.06443914666791985,0.03905555896943394
v1,baseline,rough_seed_5,rough_seed_17,wm060_ws040_we000,lm100_ls000_le000,lm060_ls020_le020,0,0.24392489939300094,0.2847600729537938,0.04083517356079286
v1,baseline,rough_seed_5,rough_seed_17,wm060_ws020_we020,lm100_ls000_le000,lm020_ls060_le020,0,0.14147579821119285,0.1431098976639537,0.0016340994527608566
v1,baseline,rough_seed_5,rough_seed_17,wm060_ws000_we040,lm100_ls000_le000,lm080_ls020_le000,0,0.04674099175401099,0.09994677806061128,0.05320578630660029
v1,baseline,rough_seed_5,rough_seed_17,wm040_ws060_we000,lm100_ls000_le000,lm060_ls020_le020,0,0.3645046502644354,0.4267443995829834,0.06223974931854798
v1,baseline,rough_seed_5,rough_seed_17,wm040_ws040_we020,lm100_ls000_le000,lm060_ls020_le020,0,0.2436028312879478,0.2850942242931434,0.04149139300519561
v1,baseline,rough_seed_5,rough_seed_17,wm040_ws020_we040,lm100_ls000_le000,lm060_ls020_le020,0,0.12270101231146018,0.14344404900330332,0.020743036691843145
v1,baseline,rough_seed_5,rough_seed_17,wm040_ws000_we060,lm100_ls000_le000,lm000_ls080_le020,0,0.04853432683236005,0.14952445724320967,0.10099013041084962
