context_index,context_id,group,terrain,seed,beta_name,beta_motion,beta_stability,beta_energy,feasible,strict_feasible,pareto_nondominated,good_candidate,cost_motion,cost_stability,cost_energy,motion_rank,stability_rank,energy_rank,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps
9,flat_train:flat:27109,flat_train,flat,27109,stability,0.15,0.7,0.15,True,True,False,False,0.20817412523310783,0.011499845971923352,0.5289664020691893,4,4,2,161.78904061737825,7.167999999999998,0.0034801346718804785,0.02807466868195941,0.21397405205028397
9,flat_train:flat:27109,flat_train,flat,27109,energy,0.15,0.15,0.7,True,True,True,True,0.20704809962052603,0.011466874408318894,0.5287614692834479,3,3,1,161.726360116941,7.168000000000001,0.0036802376127960646,0.028034392886775273,0.21542896434664727
10,flat_train:flat:27110,flat_train,flat,27110,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2030668865745276,0.011339593400014291,0.5398930780819409,2,2,3,160.41303056047215,6.9460000000000015,0.003794654298704151,0.02787836950818898,0.2183116757256143
10,flat_train:flat:27110,flat_train,flat,27110,motion,0.7,0.15,0.15,True,True,True,True,0.19811627629340228,0.011186075202893503,0.5445132367293413,1,1,4,161.7857720909483,6.954000000000001,0.0037873071169651634,0.02768901417850566,0.2224411259240964
10,flat_train:flat:27110,flat_train,flat,27110,stability,0.15,0.7,0.15,True,True,True,True,0.2089993411799948,0.011561008307855001,0.5270839658942281,4,4,1,161.21328090640395,7.180000000000004,0.003450628785341794,0.028149227481102032,0.21396910978215086
10,flat_train:flat:27110,flat_train,flat,27110,energy,0.15,0.15,0.7,True,True,True,True,0.2066398466211281,0.011429106355070662,0.5331762958885133,3,3,2,158.41734024510424,6.962,0.0037436756416355872,0.02798818675473493,0.2156119093956316
11,flat_train:flat:27111,flat_train,flat,27111,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20316768653073153,0.011344575724625135,0.5386773192398534,2,2,3,160.05180429511094,6.958,0.0037381293262681655,0.027884493144357387,0.2183006124023129
11,flat_train:flat:27111,flat_train,flat,27111,motion,0.7,0.15,0.15,True,True,True,True,0.19825580853955435,0.011154688255706846,0.5441999584682418,1,1,4,161.69269085447417,6.955999999999999,0.0038202305796449613,0.02765014067372625,0.2224442953572554
11,flat_train:flat:27111,flat_train,flat,27111,stability,0.15,0.7,0.15,True,True,True,True,0.20847993643569698,0.01152422144470383,0.5251980346888899,4,4,1,160.6364522095558,7.178000000000001,0.0034724852989148074,0.02810440688899792,0.2139617744726794
11,flat_train:flat:27111,flat_train,flat,27111,energy,0.15,0.15,0.7,True,True,True,True,0.20670640424647038,0.011458855911324839,0.5348920715715624,3,3,2,163.601458910968,7.153999999999999,0.0037149928189551536,0.02802458925037403,0.2154507112077305
12,flat_train:flat:27112,flat_train,flat,27112,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20315048976337174,0.01134025865273791,0.5398882432083011,2,2,3,160.4115940228235,6.942000000000001,0.003813853638726512,0.027879186987279817,0.21830704282311836
12,flat_train:flat:27112,flat_train,flat,27112,motion,0.7,0.15,0.15,True,True,True,True,0.198720912340578,0.011222948523588556,0.5412167918833207,1,1,4,160.80633240317857,6.966000000000002,0.0037690485494832077,0.02773461330504152,0.2224379839266048
12,flat_train:flat:27112,flat_train,flat,27112,stability,0.15,0.7,0.15,True,True,True,True,0.20872493375494489,0.01146278625955931,0.5318011347611012,4,4,1,162.6560686192269,7.146000000000002,0.003575540589546803,0.028029395289242958,0.2139791225322655
12,flat_train:flat:27112,flat_train,flat,27112,energy,0.15,0.15,0.7,True,True,True,True,0.20712747447685798,0.011446548861887082,0.5319637589689474,3,3,2,162.70580866786833,7.156000000000003,0.0036909817914558348,0.028009535579820055,0.21544418051838873
13,flat_train:flat:27113,flat_train,flat,27113,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20367704622730012,0.011178079513702087,0.5336556537223809,2,1,3,158.55976704399333,6.953999999999999,0.0037454091425128634,0.027679116618490453,0.21831327764426964
13,flat_train:flat:27113,flat_train,flat,27113,motion,0.7,0.15,0.15,True,True,True,True,0.19822918114377214,0.011230144000408367,0.5447735352303588,1,2,4,161.8631119811853,6.958000000000001,0.0037991788510703577,0.027743502450724704,0.22244548503966893
13,flat_train:flat:27113,flat_train,flat,27113,stability,0.15,0.7,0.15,True,True,True,True,0.20802844257175818,0.01149577633119367,0.52668784843944,4,4,1,161.09212488830667,7.155999999999999,0.003504245125843535,0.028069700515915966,0.21396789572068622
13,flat_train:flat:27113,flat_train,flat,27113,energy,0.15,0.15,0.7,True,True,True,True,0.20666031099829776,0.011447181931646472,0.53356006919859,3,3,2,163.19405423426213,7.152,0.0036720144591659643,0.02801031034287599,0.21545056881649152
14,flat_train:flat:27114,flat_train,flat,27114,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20328787835881776,0.011348344572162406,0.5383290486249108,2,2,3,159.94832613051474,6.958,0.003748459870526269,0.02788912474245846,0.21829619964256008
14,flat_train:flat:27114,flat_train,flat,27114,motion,0.7,0.15,0.15,True,True,True,True,0.19845979969033284,0.01115823837550375,0.5453652245057256,1,1,4,162.03891469780638,6.9380000000000015,0.0038815696920657975,0.02765454032039231,0.22244897331385055
14,flat_train:flat:27114,flat_train,flat,27114,stability,0.15,0.7,0.15,True,True,True,True,0.20851839042406653,0.01137361983371018,0.5237216763830551,4,3,1,160.18489499727514,7.132000000000001,0.003515690318330769,0.027920164923929364,0.21399130868060248
