terrain,mission,held_context_id,held_signature_count,shared_log_predictive,uniform_log_predictive,delta_log_predictive
rough_perlin,efficient,rough_train:rough_perlin:4,3,-0.2142048770033993,-0.8653357580562305,0.6511308810528312
rough_perlin,efficient,rough_train:rough_perlin:5,6,-0.06187861548122283,-0.3635293088877405,0.3016506934065177
rough_perlin,efficient,rough_train:rough_perlin:6,4,-0.17667492397643936,-0.830364842045733,0.6536899180692937
rough_perlin,efficient,rough_train:rough_perlin:7,6,-0.16251093051592655,-0.5959354799786434,0.4334245494627168
rough_perlin,efficient,rough_train:rough_perlin:8,2,-0.5720283855207913,-1.097446214911315,0.5254178293905238
rough_perlin,fast,rough_train:rough_perlin:0,3,-0.9382101791181429,-1.852110818403351,0.9139006392852081
rough_perlin,fast,rough_train:rough_perlin:10,4,-0.1672782108909776,-0.9809864768340089,0.8137082659430313
rough_perlin,fast,rough_train:rough_perlin:11,4,-0.2750177949938839,-0.9049430769468711,0.6299252819529872
rough_perlin,fast,rough_train:rough_perlin:12,3,-0.24297348943809047,-0.6212562895309665,0.37828280009287596
rough_perlin,fast,rough_train:rough_perlin:13,6,-0.24232848084052602,-1.1112621474086184,0.8689336665680923
rough_perlin,fast,rough_train:rough_perlin:15,2,-0.19637332729283585,-1.21654740439975,1.020174077106914
rough_perlin,fast,rough_train:rough_perlin:17,5,-0.31990475084282294,-0.8242850438460889,0.5043802930032659
