variant,context_id,preference_name,preference_kind,frozen_beta_name,shadow_beta_name,frozen_score_sacrifice,frozen_motion,shadow_motion,delta_motion,abs_delta_motion,abs_delta_motion_over_train_iqr,frozen_stability,shadow_stability,delta_stability,abs_delta_stability,abs_delta_stability_over_train_iqr,frozen_energy,shadow_energy,delta_energy,abs_delta_energy,abs_delta_energy_over_train_iqr,normalized_physical_l1_mean,normalized_physical_linf
q25,rough_seed_4,energy,canonical,lm020_ls080_le000,lm000_ls100_le000,0.042972960747891364,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q25,rough_seed_29,energy,canonical,lm080_ls000_le020,lm040_ls040_le020,0.001520298091136102,4.451142137400583,4.462383657979929,0.01124152057934591,0.01124152057934591,0.0697092316994318,0.32730155642594877,0.3268264064952249,-0.0004751499307238949,0.0004751499307238949,0.004289023271215444,131.4637970363857,131.5704211648114,0.10662412842569324,0.10662412842569324,0.008562320820759771,0.027520191930469007,0.0697092316994318
q25,rough_seed_18,wm040_ws060_we000,grid,lm040_ls040_le020,lm000_ls100_le000,0.20199999999999996,4.8008529627643,4.789394365536296,-0.01145859722800413,0.01145859722800413,0.07105533486145907,0.12595293390731585,0.1260583716410282,0.00010543773371235465,0.00010543773371235465,0.000951751993034152,118.4896430274661,118.129206688321,-0.360436339145096,0.360436339145096,0.0289444013919537,0.03365049608214898,0.07105533486145907
q25,rough_seed_18,wm020_ws080_we000,grid,lm040_ls040_le020,lm000_ls100_le000,0.6060000000000001,4.8008529627643,4.789394365536296,-0.01145859722800413,0.01145859722800413,0.07105533486145907,0.12595293390731585,0.1260583716410282,0.00010543773371235465,0.00010543773371235465,0.000951751993034152,118.4896430274661,118.129206688321,-0.360436339145096,0.360436339145096,0.0289444013919537,0.03365049608214898,0.07105533486145907
q25,rough_seed_18,wm020_ws060_we020,grid,lm040_ls040_le020,lm000_ls100_le000,0.40199999999999997,4.8008529627643,4.789394365536296,-0.01145859722800413,0.01145859722800413,0.07105533486145907,0.12595293390731585,0.1260583716410282,0.00010543773371235465,0.00010543773371235465,0.000951751993034152,118.4896430274661,118.129206688321,-0.360436339145096,0.360436339145096,0.0289444013919537,0.03365049608214898,0.07105533486145907
q25,rough_seed_18,wm000_ws080_we020,grid,lm040_ls040_le020,lm000_ls100_le000,0.6060000000000001,4.8008529627643,4.789394365536296,-0.01145859722800413,0.01145859722800413,0.07105533486145907,0.12595293390731585,0.1260583716410282,0.00010543773371235465,0.00010543773371235465,0.000951751993034152,118.4896430274661,118.129206688321,-0.360436339145096,0.360436339145096,0.0289444013919537,0.03365049608214898,0.07105533486145907
q25,rough_seed_18,wm000_ws060_we040,grid,lm040_ls040_le020,lm000_ls100_le000,0.20199999999999996,4.8008529627643,4.789394365536296,-0.01145859722800413,0.01145859722800413,0.07105533486145907,0.12595293390731585,0.1260583716410282,0.00010543773371235465,0.00010543773371235465,0.000951751993034152,118.4896430274661,118.129206688321,-0.360436339145096,0.360436339145096,0.0289444013919537,0.03365049608214898,0.07105533486145907
q25,rough_seed_18,stability,canonical,lm040_ls040_le020,lm000_ls100_le000,0.5539999999999999,4.8008529627643,4.789394365536296,-0.01145859722800413,0.01145859722800413,0.07105533486145907,0.12595293390731585,0.1260583716410282,0.00010543773371235465,0.00010543773371235465,0.000951751993034152,118.4896430274661,118.129206688321,-0.360436339145096,0.360436339145096,0.0289444013919537,0.03365049608214898,0.07105533486145907
q25,rough_seed_8,balanced,canonical,lm080_ls020_le000,lm040_ls060_le000,0.0023126016401487925,4.444756142384128,4.456594925914559,0.011838783530430774,0.011838783530430774,0.07341288914939964,0.33030354465182266,0.3342342386703735,0.00393069401855084,0.00393069401855084,0.035481091393420434,129.48644624186608,129.06596190712793,-0.4204843347381484,0.4204843347381484,0.033766482570976857,0.047553487704598975,0.07341288914939964
q25,rough_seed_28,wm080_ws000_we020,grid,lm040_ls060_le000,lm060_ls040_le000,0.009046033201016851,4.6879853814544115,4.683597651869422,-0.004387729584989231,0.004387729584989231,0.02720853074240094,0.2535723489037948,0.25357164773810215,-7.011656926736443e-07,7.011656926736443e-07,6.32919375211417e-06,119.63659923958275,119.64963779012226,0.013038550539505422,0.013038550539505422,0.0010470449269345103,0.009420634954362522,0.02720853074240094
q25,rough_seed_28,wm060_ws040_we000,grid,lm000_ls100_le000,lm060_ls040_le000,0.08627121682829986,4.690127526392075,4.683597651869422,-0.0065298745226529675,0.0065298745226529675,0.04049207870545195,0.25342085372924245,0.25357164773810215,0.0001507940088597004,0.0001507940088597004,0.0013611682783448585,119.48860342430275,119.64963779012226,0.16103436581950348,0.16103436581950348,0.012931668691435923,0.018261638558410908,0.04049207870545195
