context_id,seed,split_group,terrain,beta_index,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,status,success,m4_interventions,feasible,infeasible_reason,raw_log_relpath,source_stage,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m
rough_seed_19,19,test,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0007.jsonl,T6.12e_heldout,37,5,7.4,1.6483900423996034,225.5590006895232,0.008761123043374836,0.09681637984767127,0.017049147438836357,0.16576542499620017,0.07952286282307827,0.006336978131214033,0.00037276341948316703,4.489228768470132,0.3698113302004667,0.07952286282307827,0.3698113302004667,attitude,136.83593984902458
rough_seed_26,26,test,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0008.jsonl,T6.12e_heldout,38,5,7.6,1.6721714727916308,201.42391820623914,0.005887839469756926,0.06266160053505199,0.018692038030589317,0.13828089899807905,0.06509924385634548,0.0020085066162576085,0.00011814744801515345,4.544988431905294,0.2393496832128787,0.06509924385634548,0.2393496832128787,attitude,120.45649712584145
rough_seed_9,9,hard,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,m4,0,1,0,status_not_success+m4_intervention,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0009.jsonl,T6.12e_heldout,7,,1.3519999999999626,0.28622062043869523,55.505715050753075,,,,,,,,,,,,,
rough_seed_23,23,hard,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,m4,0,1,0,status_not_success+m4_intervention,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0010.jsonl,T6.12e_heldout,2,,0.22000000000000086,0.02925402663875909,9.245173878748602,,,,,,,,,,,,,
rough_seed_24,24,hard,rough_perlin,2,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,settling_fail,0,0,0,status_not_success+nonpositive_progress,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/02_lm080_ls000_le020/attempt_001/env_logs/episode_0011.jsonl,T6.12e_heldout,0,,,,,,,,,,,,,,,,,
rough_seed_1,1,val,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0000.jsonl,T6.12e_heldout,38,5,7.6,1.6696640659704753,214.4664348109515,0.01088326939156139,0.08893382009363633,0.029731784623280143,0.16464667205072092,0.07818026588609771,0.007074033418711204,0.0010976948408346213,4.551813837822865,0.3397021698227412,0.07818026588609771,0.3397021698227412,attitude,128.44885338434534
rough_seed_21,21,val,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0001.jsonl,T6.12e_heldout,40,5,8.0,1.6657914309862647,209.76257037369197,0.009604435996410624,0.06688123073626015,0.021474527095274913,0.12342546615075523,0.07140492219402893,0.008387595188170208,0.0006621785674871339,4.802522003167852,0.25546748332188973,0.07140492219402893,0.25546748332188973,attitude,125.9236699575876
rough_seed_16,16,val,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0002.jsonl,T6.12e_heldout,38,5,7.6,1.6973356583294557,214.41544543318713,0.00625952770143675,0.060890341969648876,0.016755422280812685,0.12964007218000506,0.07323016936762779,0.002193249664920651,0.0003655416108201265,4.477605806903296,0.23258397386461233,0.07323016936762779,0.23258397386461233,attitude,126.32471625807837
rough_seed_14,14,val,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0003.jsonl,T6.12e_heldout,38,5,7.6,1.6862497831027805,219.20567180037727,0.008206044743359312,0.07030498759084296,0.018507030723896048,0.14840760449848456,0.08201854751296224,0.007948934120198859,0.0010839455618452715,4.5070428332483665,0.2685452711783285,0.08201854751296224,0.2685452711783285,attitude,129.99596738095843
rough_seed_27,27,test,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0004.jsonl,T6.12e_heldout,38,5,7.6,1.6916798905115211,224.55272821722005,0.01050241445312849,0.10538465556673167,0.025722264749856807,0.2155718973898999,0.09214483339349774,0.008901720197283134,0.0030073379044876364,4.492575718744255,0.40253973262757214,0.09214483339349774,0.40253973262757214,attitude,132.739491364008
rough_seed_2,2,test,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0005.jsonl,T6.12e_heldout,41,5,8.200000000000001,1.6798365586672146,236.39433086817672,0.012397756606217065,0.09605964845796208,0.03371842813907538,0.2125728441239394,0.0778660612939993,0.009988649262205185,0.0032917139614089107,4.881427277964408,0.36692082921010627,0.0778660612939993,0.36692082921010627,attitude,140.72460183610508
rough_seed_3,3,test,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0006.jsonl,T6.12e_heldout,37,5,7.4,1.669447490089283,208.13902284270495,0.00645773500931742,0.08086090798662635,0.014016185172600903,0.11318928952825802,0.06674151696608102,0.005738522954092757,0.0008732534930141153,4.432604226206745,0.30886591701529204,0.06674151696608102,0.30886591701529204,attitude,124.67539355285355
rough_seed_19,19,test,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0007.jsonl,T6.12e_heldout,37,5,7.4,1.6516499422653284,226.19314479234578,0.00875068437434084,0.09680954146793695,0.015573012764954092,0.1657776009610641,0.08025382605451517,0.00659450043548722,0.0006221226825931195,4.480368273346406,0.36978520951396776,0.08025382605451517,0.36978520951396776,attitude,136.9498094021724
rough_seed_26,26,test,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0008.jsonl,T6.12e_heldout,38,5,7.6,1.6782268524900836,202.06188398531296,0.005943872179592729,0.06288001505654384,0.0193392016422792,0.13833969383417277,0.06710697016158886,0.001651138105909124,0.00011793843613636694,4.528589200395307,0.24018396523060218,0.06710697016158886,0.24018396523060218,attitude,120.40200863518653
rough_seed_9,9,hard,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,m4,0,1,0,status_not_success+m4_intervention,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0009.jsonl,T6.12e_heldout,7,,1.3499999999999628,0.2872136749387475,55.5886793044078,,,,,,,,,,,,,
rough_seed_23,23,hard,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,m4,0,1,0,status_not_success+m4_intervention,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0010.jsonl,T6.12e_heldout,2,,0.22000000000000086,0.029306023136867143,9.24408529304526,,,,,,,,,,,,,
rough_seed_24,24,hard,rough_perlin,3,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,settling_fail,0,0,0,status_not_success+nonpositive_progress,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/03_lm060_ls040_le000/attempt_001/env_logs/episode_0011.jsonl,T6.12e_heldout,0,,,,,,,,,,,,,,,,,
rough_seed_1,1,val,rough_perlin,4,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/04_lm060_ls020_le020/attempt_001/env_logs/episode_0000.jsonl,T6.12e_heldout,38,5,7.6,1.6621498111558604,212.9433963352945,0.010611310845979442,0.08888278591781304,0.02728026632713525,0.16314506893291014,0.07386567700228826,0.0073027654734843335,0.0011971746677844695,4.572391699587508,0.33950723363036767,0.07386567700228826,0.33950723363036767,attitude,128.11323919545706
rough_seed_21,21,val,rough_perlin,4,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/04_lm060_ls020_le020/attempt_001/env_logs/episode_0001.jsonl,T6.12e_heldout,40,5,8.0,1.6579856411786573,209.11124018280333,0.009520299473465398,0.0668929450072085,0.02206476914655598,0.12263273701120614,0.07003977021653769,0.008948298718516504,0.0008837825894831428,4.825132257667095,0.2555122285409173,0.07003977021653769,0.2555122285409173,attitude,126.12367380585198
