representation,held_context,nearest_context,nearest_distance,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
semantic_regions,rough_seed_0,rough_seed_6,8.293629320730096,0.9571428571428571,0.6402597402597403,0.5,0.33246753246753247,lm100_ls000_le000,lm000_ls080_le020,4,0,0,1,0.041768950939877314,0.1191408580715218,1
semantic_regions,rough_seed_5,rough_seed_40,6.049418430520715,0.9662337662337662,0.8480519480519481,0.5428571428571428,0.36623376623376624,lm060_ls020_le020,lm020_ls060_le020,4,0,0,1,0.03155339441793098,0.04604145419202896,1
semantic_regions,rough_seed_11,rough_seed_4,6.957850147843131,0.9649350649350649,0.4623376623376624,0.9376623376623376,0.9766233766233766,lm020_ls080_le000,lm020_ls080_le000,1,1,1,1,0.0,0.03577286759580989,1
semantic_regions,rough_seed_4,rough_seed_11,6.903481763659081,0.9649350649350649,0.4623376623376624,0.9376623376623376,0.9766233766233766,lm020_ls080_le000,lm020_ls080_le000,1,1,1,1,0.0,0.167424333212578,1
semantic_regions,rough_seed_25,rough_seed_12,7.142479486209598,0.9935064935064933,0.8025974025974025,0.18961038961038962,0.6558441558441558,lm040_ls040_le020,lm100_ls000_le000,4,0,0,1,0.17697867292882175,0.2333729512036904,1
semantic_regions,rough_seed_12,rough_seed_25,7.079864695984444,0.9935064935064933,0.8025974025974025,0.18961038961038962,0.6558441558441558,lm100_ls000_le000,lm040_ls040_le020,2,0,1,1,0.0023523746305496585,0.27336439191352324,1
semantic_regions,rough_seed_6,rough_seed_4,7.024758151635078,0.9545454545454546,-0.32857142857142857,0.8194805194805195,0.6701298701298701,lm000_ls080_le020,lm020_ls080_le000,2,0,1,1,0.05415995028104853,0.19646303752110775,1
semantic_regions,rough_seed_29,rough_seed_32,9.561781043199485,0.9454545454545454,-0.7285714285714285,0.46623376623376617,0.11298701298701298,lm060_ls040_le000,lm040_ls000_le060,12,0,0,0,0.6211206867656048,0.01807345113361848,0
semantic_regions,rough_seed_18,rough_seed_36,8.192502926829802,0.9181818181818181,0.6337662337662338,-0.32857142857142857,-0.22467532467532467,lm000_ls100_le000,lm100_ls000_le000,11,0,0,0,5.801274272905326,1.6530904404215563,0
semantic_regions,rough_seed_10,rough_seed_28,9.447739014968192,0.9805194805194805,-0.9207792207792208,0.28051948051948056,0.18311688311688312,lm060_ls020_le020,lm000_ls100_le000,18,0,0,0,0.2560874033297659,0.04660870274838702,0
semantic_regions,rough_seed_8,rough_seed_30,9.662988363588909,0.9649350649350649,0.3896103896103896,0.4831168831168831,0.7948051948051948,lm080_ls020_le000,lm060_ls040_le000,4,0,0,1,0.04922286542421617,0.0,0
semantic_regions,rough_seed_22,rough_seed_5,7.182373574663269,0.8987012987012987,0.8363636363636363,0.44285714285714284,0.7844155844155845,lm040_ls040_le020,lm060_ls020_le020,8,0,0,0,0.14334293722216282,0.14102356059836776,0
semantic_regions,rough_seed_20,rough_seed_41,7.715656947683023,0.9805194805194805,0.5389610389610389,0.5220779220779221,0.3246753246753247,lm000_ls060_le040,lm000_ls100_le000,19,0,0,0,0.27582706210966956,0.14667944598463062,0
semantic_regions,rough_seed_28,rough_seed_47,9.280785087640634,0.9402597402597404,-0.24415584415584415,0.1155844155844156,0.4090909090909091,lm000_ls100_le000,lm040_ls040_le020,9,0,0,0,0.6179655636381415,0.2066409730589126,0
semantic_regions,rough_seed_17,rough_seed_39,8.289337622134441,0.16623376623376623,0.39610389610389607,0.8584415584415584,0.6558441558441558,lm100_ls000_le000,lm060_ls040_le000,8,0,0,0,0.247041423263548,0.19233300719603325,0
