source_manifest,source_d5_dir,source_csv,source_trial,source_row_index,context,target_beta_motion,target_beta_stability,target_beta_energy,runtime_pred_beta_motion,runtime_pred_beta_stability,runtime_pred_beta_energy,runtime_raw_beta_motion,runtime_raw_beta_stability,runtime_raw_beta_energy,reset_y,y_mean,mean_abs_y_context,max_abs_y_context,ram_slip_proxy_mean,ram_roughness_proxy_mean,ram_sigma_mean,motion_score,stability_score,energy_score,effort_proxy,hold_drift,rollout_max_abs_y,rollout_mean_abs_y
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,96,flat,0.537571026,0.189027100,0.273401874,0.392215736,0.088095238,0.519689026,0.396658153,0.000000001,0.603341847,0.003351087,0.000000000,0.013470331,0.015202433,0.000000000,0.050000000,0.050000000,0.183341821,0.993919027,0.505106107,0.494893893,0.000000000,0.015202433,0.013470331
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,99,flat,0.537947471,0.188306808,0.273745721,0.392300904,0.088095238,0.519603858,0.396769936,0.000000001,0.603230063,0.003351087,0.000000000,0.012049406,0.012920341,0.000000000,0.050000000,0.050000000,0.184532600,0.994831863,0.505130345,0.494869655,0.000000000,0.012920341,0.012049406
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,102,flat,0.537011005,0.189589637,0.273399358,0.392347651,0.088095238,0.519557111,0.396831291,0.000000001,0.603168708,0.003351087,0.000000000,0.014642792,0.016537694,0.000000000,0.050000000,0.050000000,0.185550035,0.993384922,0.505150506,0.494849494,0.000000000,0.016537694,0.014642792
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,105,flat,0.536080598,0.190854865,0.273064538,0.392391194,0.088095238,0.519513568,0.396888442,0.000000001,0.603111557,0.003351087,0.000000000,0.018644061,0.020103888,0.000000000,0.050000000,0.050000000,0.186630856,0.991958445,0.505165740,0.494834260,0.000000000,0.020103888,0.018644061
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,108,flat,0.535953426,0.190900831,0.273145743,0.392456169,0.088095238,0.519448592,0.396973722,0.000000001,0.603026277,0.003351087,0.000000000,0.019921922,0.020075746,0.000000000,0.050000000,0.050000000,0.187763921,0.991969702,0.505179069,0.494820931,0.000000000,0.020075746,0.019921922
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,111,flat,0.535937498,0.190792209,0.273270293,0.392526433,0.088095238,0.519378329,0.397065943,0.000000001,0.602934056,0.003351087,0.000000000,0.018987960,0.019607293,0.000000000,0.050000000,0.050000000,0.188793717,0.992157083,0.505192494,0.494807506,0.000000000,0.019607293,0.018987960
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,114,flat,0.536110503,0.190382505,0.273506992,0.392606829,0.088095238,0.519297933,0.397171463,0.000000001,0.602828536,0.003351087,0.000000000,0.017777610,0.018236658,0.000000000,0.050000000,0.050000000,0.189943650,0.992705337,0.505206206,0.494793794,0.000000000,0.018236658,0.017777610
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,117,flat,0.535469194,0.191220867,0.273309939,0.392660657,0.088095238,0.519244105,0.397242112,0.000000001,0.602757887,0.003351087,0.000000000,0.019170442,0.020557473,0.000000000,0.050000000,0.050000000,0.190951315,0.991777011,0.505217961,0.494782039,0.000000000,0.020557473,0.019170442
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,120,flat,0.534532760,0.192513375,0.272953865,0.392699876,0.088095238,0.519204886,0.397293587,0.000000001,0.602706412,0.003351087,0.000000000,0.022312469,0.024231667,0.000000000,0.050000000,0.050000000,0.191893959,0.990307333,0.505226526,0.494773474,0.000000000,0.024231667,0.022312469
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,123,flat,0.534072578,0.193063157,0.272864265,0.392754039,0.088095238,0.519150723,0.397364676,0.000000001,0.602635323,0.003351087,0.000000000,0.025243232,0.025692597,0.000000000,0.050000000,0.050000000,0.193014507,0.989722961,0.505232391,0.494767609,0.000000000,0.025692597,0.025243232
