representation,held_context,eta_name,oracle_beta,learned_beta,baseline_beta,learned_rank,baseline_rank,learned_Q_excess,baseline_Q_excess,learned_beats_baseline,learned_ties_baseline,learned_worse_baseline,learned_exact,learned_top3,learned_top5
semantic_plus_probe,rough_seed_0,motion_biased,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,15,3,0.41349271742757165,0.05303508557669458,0,0,1,0,0,0
semantic_plus_probe,rough_seed_0,stability_biased,lm000_ls060_le040,lm000_ls060_le040,lm080_ls020_le000,1,14,0.0,0.5967024525826499,1,0,0,1,1,1
semantic_plus_probe,rough_seed_0,energy_biased,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,10,7,0.3933641996327744,0.24551011153872238,0,0,1,0,0,0
semantic_plus_probe,rough_seed_5,balanced,lm060_ls020_le020,lm000_ls040_le060,lm080_ls020_le000,15,7,0.13504226187794194,0.04604145419202896,0,0,1,0,0,0
semantic_plus_probe,rough_seed_5,motion_biased,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,4,0.0,0.0050143624435080025,1,0,0,1,1,1
semantic_plus_probe,rough_seed_5,stability_biased,lm020_ls040_le040,lm000_ls060_le040,lm080_ls020_le000,6,17,0.013055761412708172,0.38181571957820637,1,0,0,0,0,0
semantic_plus_probe,rough_seed_5,energy_biased,lm060_ls020_le020,lm000_ls080_le020,lm100_ls000_le000,5,8,0.01898257181831335,0.0831771258790878,1,0,0,0,0,1
semantic_plus_probe,rough_seed_11,balanced,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,10,4,0.749905260502671,0.03577286759580989,0,0,1,0,0,0
semantic_plus_probe,rough_seed_11,motion_biased,lm100_ls000_le000,lm000_ls100_le000,lm080_ls020_le000,6,2,0.5540408865442786,0.0007254509276770627,0,0,1,0,0,0
semantic_plus_probe,rough_seed_11,stability_biased,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,6,12,0.3390986645577858,0.5594708499340446,1,0,0,0,0,0
semantic_plus_probe,rough_seed_11,energy_biased,lm000_ls100_le000,lm000_ls080_le020,lm100_ls000_le000,10,3,2.0443659429560737,0.547591313806471,0,0,1,0,0,0
semantic_plus_probe,rough_seed_4,balanced,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,3,4,0.1640909998792447,0.167424333212578,1,0,0,0,1,1
semantic_plus_probe,rough_seed_4,motion_biased,lm020_ls080_le000,lm020_ls080_le000,lm080_ls020_le000,1,3,0.0,0.07501137570075601,1,0,0,1,1,1
semantic_plus_probe,rough_seed_4,stability_biased,lm000_ls100_le000,lm000_ls080_le020,lm080_ls020_le000,11,5,4.713767588125408,0.5569999999999999,0,0,1,0,0,0
semantic_plus_probe,rough_seed_4,energy_biased,lm020_ls080_le000,lm000_ls100_le000,lm100_ls000_le000,3,6,0.042972960747891364,0.612047628198621,1,0,0,0,1,1
semantic_plus_probe,rough_seed_25,balanced,lm040_ls040_le020,lm100_ls000_le000,lm080_ls020_le000,4,8,0.17697867292882175,0.2333729512036904,1,0,0,0,0,1
semantic_plus_probe,rough_seed_25,motion_biased,lm080_ls000_le020,lm100_ls000_le000,lm080_ls020_le000,2,6,0.007966230981075031,0.033524854073517504,1,0,0,0,1,1
semantic_plus_probe,rough_seed_25,stability_biased,lm060_ls000_le040,lm080_ls000_le020,lm080_ls020_le000,6,13,0.14819292598880335,0.5483958397848061,1,0,0,0,0,0
semantic_plus_probe,rough_seed_25,energy_biased,lm040_ls040_le020,lm100_ls000_le000,lm100_ls000_le000,2,2,0.060503759923311584,0.060503759923311584,0,1,0,0,1,1
semantic_plus_probe,rough_seed_12,balanced,lm100_ls000_le000,lm020_ls000_le080,lm080_ls020_le000,19,10,0.6439560850891476,0.27336439191352324,0,0,1,0,0,0
semantic_plus_probe,rough_seed_12,motion_biased,lm100_ls000_le000,lm020_ls000_le080,lm080_ls020_le000,19,3,1.8882471493444895,0.12323315961884831,0,0,1,0,0,0
semantic_plus_probe,rough_seed_12,stability_biased,lm040_ls040_le020,lm000_ls000_le100,lm080_ls020_le000,20,15,1.3946657599233605,1.1194319712830678,0,0,1,0,0,0
semantic_plus_probe,rough_seed_12,energy_biased,lm100_ls000_le000,lm020_ls000_le080,lm080_ls020_le000,12,14,0.9460857747510449,0.9895874923976087,1,0,0,0,0,0
semantic_plus_probe,rough_seed_6,balanced,lm000_ls080_le020,lm000_ls100_le000,lm080_ls020_le000,4,14,0.07496055129465143,0.19646303752110775,1,0,0,0,0,1
semantic_plus_probe,rough_seed_6,motion_biased,lm020_ls080_le000,lm040_ls060_le000,lm080_ls020_le000,3,6,0.03374927569923457,0.06378750170648817,1,0,0,0,1,1
semantic_plus_probe,rough_seed_6,stability_biased,lm000_ls060_le040,lm000_ls100_le000,lm080_ls020_le000,14,21,0.3611037085623153,0.6144933657514767,1,0,0,0,0,0
semantic_plus_probe,rough_seed_6,energy_biased,lm040_ls060_le000,lm000_ls100_le000,lm080_ls020_le000,4,8,0.024045346029157658,0.2931492573234983,1,0,0,0,0,1
semantic_plus_probe,rough_seed_29,balanced,lm060_ls040_le000,lm060_ls000_le040,lm080_ls020_le000,17,3,0.8607055246525701,0.01807345113361848,0,0,1,0,0,0
semantic_plus_probe,rough_seed_29,motion_biased,lm060_ls040_le000,lm000_ls100_le000,lm080_ls020_le000,7,4,0.23346866862736637,0.15487168492320835,0,0,1,0,0,0
semantic_plus_probe,rough_seed_29,stability_biased,lm080_ls020_le000,lm060_ls000_le040,lm080_ls020_le000,18,1,1.2412237909254167,0.0,0,0,1,0,0,0
semantic_plus_probe,rough_seed_29,energy_biased,lm080_ls000_le020,lm000_ls080_le020,lm100_ls000_le000,9,11,0.28098249667219455,0.5558651539577645,1,0,0,0,0,0
semantic_plus_probe,rough_seed_18,balanced,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,1,8,0.0,1.6530904404215563,1,0,0,1,1,1
semantic_plus_probe,rough_seed_18,motion_biased,lm000_ls100_le000,lm020_ls080_le000,lm080_ls020_le000,2,8,0.39632198195516743,0.7482497464283054,1,0,0,0,1,1
semantic_plus_probe,rough_seed_18,stability_biased,lm040_ls040_le020,lm000_ls100_le000,lm080_ls020_le000,3,8,0.5539999999999999,4.008310195358528,1,0,0,0,1,1
semantic_plus_probe,rough_seed_18,energy_biased,lm000_ls100_le000,lm000_ls080_le020,lm100_ls000_le000,5,11,0.7792729411448888,2.622873817942152,1,0,0,0,0,1
semantic_plus_probe,rough_seed_10,balanced,lm060_ls020_le020,lm000_ls080_le020,lm080_ls020_le000,12,5,0.2046972594498272,0.04660870274838702,0,0,1,0,0,0
semantic_plus_probe,rough_seed_10,motion_biased,lm080_ls020_le000,lm080_ls000_le020,lm080_ls020_le000,7,1,0.10370424512977505,0.0,0,0,1,0,0,0
semantic_plus_probe,rough_seed_10,stability_biased,lm040_ls000_le060,lm000_ls080_le020,lm080_ls020_le000,13,15,0.10429939151550519,0.17602207741313627,1,0,0,0,0,0
semantic_plus_probe,rough_seed_10,energy_biased,lm080_ls020_le000,lm000_ls080_le020,lm100_ls000_le000,15,4,0.5731829906213752,0.07278475262244571,0,0,1,0,0,0
semantic_plus_probe,rough_seed_8,balanced,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,2,1,0.0016479083801680394,0.0,0,0,1,0,1,1
semantic_plus_probe,rough_seed_8,motion_biased,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,2,1,0.019281123009697893,0.0,0,0,1,0,1,1
semantic_plus_probe,rough_seed_8,stability_biased,lm080_ls020_le000,lm060_ls040_le000,lm080_ls020_le000,6,1,0.35091608032699806,0.0,0,0,1,0,0,0
semantic_plus_probe,rough_seed_8,energy_biased,lm040_ls060_le000,lm020_ls080_le000,lm080_ls020_le000,9,4,0.7753145657795987,0.554459329261933,0,0,1,0,0,0
semantic_plus_probe,rough_seed_22,balanced,lm040_ls040_le020,lm000_ls080_le020,lm080_ls020_le000,3,6,0.025173014214702888,0.14102356059836776,1,0,0,0,1,1
semantic_plus_probe,rough_seed_22,motion_biased,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,8,1,0.09793446483293872,0.0,0,0,1,0,0,0
semantic_plus_probe,rough_seed_22,stability_biased,lm040_ls020_le040,lm000_ls080_le020,lm080_ls020_le000,12,16,0.2566362668319645,0.5499283318018938,1,0,0,0,0,0
semantic_plus_probe,rough_seed_22,energy_biased,lm040_ls020_le040,lm000_ls080_le020,lm100_ls000_le000,5,9,0.297941160296332,0.5569999999999999,1,0,0,0,0,1
semantic_plus_probe,rough_seed_20,balanced,lm000_ls060_le040,lm000_ls080_le020,lm080_ls020_le000,9,12,0.10781857615678969,0.14667944598463062,1,0,0,0,0,0
semantic_plus_probe,rough_seed_20,motion_biased,lm080_ls000_le020,lm080_ls020_le000,lm080_ls020_le000,7,7,0.04602913148335923,0.04602913148335923,0,1,0,0,0,0
semantic_plus_probe,rough_seed_20,stability_biased,lm000_ls040_le060,lm020_ls040_le040,lm080_ls020_le000,10,18,0.320463628928293,0.6086434426243702,1,0,0,0,0,0
semantic_plus_probe,rough_seed_20,energy_biased,lm060_ls020_le020,lm000_ls080_le020,lm100_ls000_le000,2,13,0.025414666986071643,0.5981245821404113,1,0,0,0,1,1
semantic_plus_probe,rough_seed_28,balanced,lm000_ls100_le000,lm040_ls020_le040,lm080_ls020_le000,13,4,1.1933267808274428,0.2066409730589126,0,0,1,0,0,0
semantic_plus_probe,rough_seed_28,motion_biased,lm060_ls040_le000,lm000_ls060_le040,lm080_ls020_le000,15,3,1.188846879595057,0.017943524956309964,0,0,1,0,0,0
semantic_plus_probe,rough_seed_28,stability_biased,lm000_ls100_le000,lm000_ls040_le060,lm080_ls020_le000,16,6,3.118277526400263,0.38428357903425,0,0,1,0,0,0
semantic_plus_probe,rough_seed_28,energy_biased,lm000_ls100_le000,lm020_ls020_le060,lm100_ls000_le000,12,6,2.023419879269671,0.6351132921090953,0,0,1,0,0,0
semantic_plus_probe,rough_seed_17,balanced,lm100_ls000_le000,lm040_ls040_le020,lm080_ls020_le000,5,6,0.19183746396762474,0.19233300719603325,1,0,0,0,0,1
semantic_plus_probe,rough_seed_17,motion_biased,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,3,0.0,0.08680197374791396,1,0,0,1,1,1
semantic_plus_probe,rough_seed_17,stability_biased,lm100_ls000_le000,lm040_ls020_le040,lm020_ls080_le000,11,10,0.4698709133695427,0.4407909749710096,0,0,1,0,0,0
semantic_plus_probe,rough_seed_17,energy_biased,lm020_ls060_le020,lm040_ls040_le020,lm080_ls020_le000,6,10,0.14157426751396068,0.44073567876514763,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_13,balanced,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,8,1,0.03270896035207965,0.0,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_13,motion_biased,lm080_ls020_le000,lm000_ls100_le000,lm080_ls020_le000,8,1,0.07115253433137764,0.0,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_13,stability_biased,lm040_ls060_le000,lm000_ls080_le020,lm080_ls020_le000,20,6,0.7513727005538565,0.2576064893087705,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_13,energy_biased,lm040_ls000_le060,lm000_ls100_le000,lm100_ls000_le000,15,19,0.4618641580046294,0.5973903235713229,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_7,balanced,lm000_ls060_le040,lm100_ls000_le000,lm080_ls020_le000,6,13,0.03784085474337451,0.11426225020779207,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_7,motion_biased,lm000_ls100_le000,lm100_ls000_le000,lm080_ls020_le000,2,4,0.007110061757766156,0.04173637857875327,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_7,stability_biased,lm020_ls020_le060,lm000_ls000_le100,lm080_ls020_le000,16,3,0.42708119865929484,0.12887637281230643,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_7,energy_biased,lm020_ls020_le060,lm000_ls000_le100,lm100_ls000_le000,4,15,0.013235890103068887,0.3949767223636602,1,0,0,0,0,1
semantic_plus_prop_probe,rough_seed_15,balanced,lm060_ls040_le000,lm060_ls020_le020,lm080_ls020_le000,17,2,0.19997271527940827,0.0068616204234064615,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_15,motion_biased,lm040_ls060_le000,lm100_ls000_le000,lm080_ls020_le000,4,2,0.024899701771312427,0.00406380128866983,0,0,1,0,0,1
