t_wall,context,x,y,observed_features,imputed_features,learned_slip,learned_rough,learned_sigma,damped_slip,damped_rough,damped_sigma,safe_slip,safe_rough,safe_sigma,legacy_slip,legacy_rough,legacy_sigma,learned_l1_legacy,damped_l1_legacy,safe_l1_legacy
1784664166.303518,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.403525,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.503577,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.603613,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.703581,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.803696,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664166.903907,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.003601,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.103587,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.203666,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.303585,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.403495,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.503563,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.603570,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.703544,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.803524,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664167.903522,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.003537,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.103609,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.203622,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.303597,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.403608,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.503533,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.603519,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.703521,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.803871,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664168.903639,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.003521,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.103520,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.203716,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.303615,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.403619,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.503589,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.603674,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.703554,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.803499,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664169.903512,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.003753,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.103636,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.203536,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.303509,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.403677,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.503571,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.603498,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.703521,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.803523,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664170.903545,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.003512,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.103514,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.203531,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.303576,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.403519,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.503490,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.603520,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.703478,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.803514,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664171.903511,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.003517,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.103563,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.203566,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.303518,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.403558,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.503585,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.603582,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.703506,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.803533,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664172.903603,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.003661,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.103649,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.203599,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.303653,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.403663,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.503608,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.603784,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.703728,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.803612,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664173.903620,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664174.003578,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664174.104054,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664174.203656,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664174.303542,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664174.403511,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664174.503557,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664174.603497,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
