decision_index,context_id,group,terrain,seed,mission,primary_metric,selected_beta_name,feasible_choice_count,preference_pair_count,support_class,max_margin_rho,beta_hat_motion,beta_hat_stability,beta_hat_energy,min_pair_margin_at_beta_hat,max_pair_margin_at_beta_hat,source_beta_consistent,source_beta_min_margin
124,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,energy,3,2,strict,0.004525447398486371,0.0,0.0,1.0,0.004525447398486371,0.009773873076848516,1,0.0026755977772398897
125,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,energy,3,2,strict,0.004525447398486371,0.0,0.0,1.0,0.004525447398486371,0.009773873076848516,1,0.0026755977772398897
127,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,balanced,2,1,strict,0.005248425678362145,0.0,0.0,1.0,0.005248425678362145,0.005248425678362145,0,-4.417455786861514e-05
128,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,energy,3,2,strict,0.004525447398486371,0.0,0.0,1.0,0.004525447398486371,0.009773873076848516,1,0.0026755977772398897
129,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,stability,4,3,strict,0.009388423763408649,0.0,0.0,1.0,0.009388423763408649,0.019162296840257165,1,0.0010833522065363138
132,flat_train:flat:27104,flat_train,flat,27104,fast,decision_time_s,balanced,2,1,strict,0.008731553856200946,0.0,0.0,1.0,0.008731553856200946,0.008731553856200946,1,0.0015573770671994246
134,flat_train:flat:27104,flat_train,flat,27104,fast,decision_time_s,balanced,2,1,strict,0.0034795588625352036,1.0,-0.0,0.0,0.0034795588625352036,0.0034795588625352036,0,-0.0007117460966480315
135,flat_train:flat:27104,flat_train,flat,27104,fast,decision_time_s,balanced,3,2,strict,0.00034993542157946535,0.6617213615890849,0.0,0.338278638410915,0.00034993542157946497,0.0003499354215794654,0,-0.0007117460966480312
139,flat_train:flat:27104,flat_train,flat,27104,stable,cost_stability,motion,2,1,strict,0.003934832512970388,1.0,-0.0,0.0,0.003934832512970388,0.003934832512970388,1,0.001463338201893972
141,flat_train:flat:27104,flat_train,flat,27104,stable,cost_stability,balanced,2,1,strict,0.0034795588625352036,1.0,-0.0,0.0,0.0034795588625352036,0.0034795588625352036,0,-0.0007117460966480315
142,flat_train:flat:27104,flat_train,flat,27104,stable,cost_stability,motion,3,2,strict,0.003934832512970388,1.0,-0.0,0.0,0.003934832512970388,0.007414391375505591,1,0.001463338201893972
146,flat_train:flat:27104,flat_train,flat,27104,efficient,cost_energy,balanced,2,1,strict,0.008731553856200946,0.0,0.0,1.0,0.008731553856200946,0.008731553856200946,1,0.0015573770671994246
147,flat_train:flat:27104,flat_train,flat,27104,efficient,cost_energy,balanced,2,1,strict,0.008731553856200946,0.0,0.0,1.0,0.008731553856200946,0.008731553856200946,1,0.0015573770671994246
149,flat_train:flat:27104,flat_train,flat,27104,efficient,cost_energy,balanced,2,1,strict,0.008731553856200946,0.0,0.0,1.0,0.008731553856200946,0.008731553856200946,1,0.0015573770671994246
150,flat_train:flat:27104,flat_train,flat,27104,efficient,cost_energy,energy,3,2,strict,0.0057720552968966166,0.0,0.0,1.0,0.0057720552968966166,0.014503609153097563,1,0.003494916156784753
153,flat_train:flat:27105,flat_train,flat,27105,fast,decision_time_s,balanced,2,1,strict,0.0044839931022937485,0.0,0.0,1.0,0.0044839931022937485,0.0044839931022937485,0,-0.00010685552403397777
156,flat_train:flat:27105,flat_train,flat,27105,fast,decision_time_s,balanced,2,1,strict,0.0055160296132057696,1.0,-0.0,0.0,0.0055160296132057696,0.0055160296132057696,0,-0.0015555241693159553
157,flat_train:flat:27105,flat_train,flat,27105,fast,decision_time_s,balanced,3,2,unsupported,-8.872463417447212e-05,0.0,0.9784466474364586,0.021553352563541368,-8.872463417447246e-05,-8.872463417447213e-05,0,-0.0015555241693159553
159,flat_train:flat:27105,flat_train,flat,27105,fast,decision_time_s,energy,2,1,strict,0.002017772861887396,1.0,0.0,0.0,0.002017772861887396,0.002017772861887396,0,-0.0036655578986607806
160,flat_train:flat:27105,flat_train,flat,27105,fast,decision_time_s,balanced,3,2,strict,0.0034982567513183738,1.0,-0.0,0.0,0.0034982567513183738,0.0055160296132057696,0,-0.0015555241693159553
161,flat_train:flat:27105,flat_train,flat,27105,fast,decision_time_s,balanced,4,3,unsupported,-8.872463417447236e-05,0.0,0.9784466474364586,0.02155335256354139,-8.872463417447236e-05,3.680236573163591e-05,0,-0.0015555241693159553
165,flat_train:flat:27105,flat_train,flat,27105,stable,cost_stability,motion,2,1,strict,0.004615106607244429,1.0,-0.0,0.0,0.004615106607244429,0.004615106607244429,1,0.0025863936197997256
167,flat_train:flat:27105,flat_train,flat,27105,stable,cost_stability,balanced,2,1,strict,0.0034982567513183738,1.0,-0.0,0.0,0.0034982567513183738,0.0034982567513183738,0,-0.0003375855460093491
