context_id,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,terrain,seed,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,source_stage
flat,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,flat,27100,4.5059645884530966,0.10792906576369801,0.03936471922859575,0.10792906576369801,attitude,100.92582582014641,T5.5c_frozen
flat,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,flat,27100,4.5213105184848015,0.10797766925054109,0.039487121298090525,0.10797766925054109,attitude,101.09120688149996,T5.5c_frozen
flat,lm000_ls020_le080,0.15,0.26,0.59,0.0,0.2,0.8,flat,27100,4.538330127058792,0.10800516447379362,0.039373652558728184,0.10800516447379362,attitude,101.18599374529741,T5.5c_frozen
flat,lm000_ls000_le100,0.15,0.15,0.7,0.0,0.0,1.0,flat,27100,4.556305297028323,0.10801105996711,0.03937812074444752,0.10801105996711,attitude,101.3186798071945,T5.5c_frozen
low_friction,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,low_friction,27200,4.539224297512309,0.10361415813975515,0.25137314479378425,0.25137314479378425,slip,110.58335893441934,T5.5c_frozen
low_friction,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,low_friction,27200,4.542541160232466,0.10357035092423726,0.2509052680762073,0.2509052680762073,slip,110.51206006721317,T5.5c_frozen
low_friction,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,low_friction,27200,4.556018487699771,0.10425257668066791,0.2507302254936805,0.2507302254936805,slip,110.68653809102952,T5.5c_frozen
low_friction,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,low_friction,27200,4.544679391626769,0.10356746206303948,0.2505255781359973,0.2505255781359973,slip,110.59918496615518,T5.5c_frozen
low_friction,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,low_friction,27200,4.558784834314689,0.10387115368020573,0.2507302254936805,0.2507302254936805,slip,110.76304011931,T5.5c_frozen
low_friction,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,low_friction,27200,4.5749470069703335,0.10406865660669291,0.25000000000004763,0.25000000000004763,slip,110.90143495132799,T5.5c_frozen
low_friction,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,low_friction,27200,4.547219700831385,0.10361819751049309,0.25017519271203076,0.25017519271203076,slip,110.62720484327328,T5.5c_frozen
low_friction,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,low_friction,27200,4.5607666766339205,0.10392375982628368,0.2507302254936805,0.2507302254936805,slip,110.78662088471246,T5.5c_frozen
low_friction,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,low_friction,27200,4.576578808155128,0.10410841791178993,0.24988323213456426,0.24988323213456426,slip,110.91715311015582,T5.5c_frozen
low_friction,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,low_friction,27200,4.598085397754187,0.10459098377460747,0.2530325359936935,0.2530325359936935,slip,111.09274967095638,T5.5c_frozen
low_friction,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,low_friction,27200,4.550188003922176,0.10363535248205791,0.24997079780404255,0.24997079780404255,slip,110.6622779661086,T5.5c_frozen
low_friction,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,low_friction,27200,4.5629887402029965,0.10399579850197012,0.25055484172414566,0.25055484172414566,slip,110.8084137105066,T5.5c_frozen
low_friction,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,low_friction,27200,4.578437285601594,0.10414607124523872,0.24976646426908078,0.24976646426908078,slip,110.93595733119693,T5.5c_frozen
low_friction,lm020_ls020_le060,0.26,0.26,0.48,0.2,0.2,0.6,low_friction,27200,4.599570603116465,0.1046330201293218,0.2529191701621552,0.2529191701621552,slip,111.10333766076694,T5.5c_frozen
low_friction,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,low_friction,27200,4.6119453723294415,0.10559768752410838,0.2545062918036926,0.2545062918036926,slip,111.2600275435598,T5.5c_frozen
low_friction,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,low_friction,27200,4.553235179487535,0.1036872303596358,0.2499707978040426,0.2499707978040426,slip,110.69916960412483,T5.5c_frozen
low_friction,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,low_friction,27200,4.566854367627028,0.10388796256536703,0.2496795992077843,0.2496795992077843,slip,110.4678040997217,T5.5c_frozen
low_friction,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,low_friction,27200,4.579152868718935,0.10452062067890563,0.2501460450987745,0.2501460450987745,slip,110.92893592612148,T5.5c_frozen
low_friction,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,low_friction,27200,4.6012436459029615,0.10467898886797232,0.25314590182523194,0.25314590182523194,slip,111.12196885822252,T5.5c_frozen
low_friction,lm000_ls020_le080,0.15,0.26,0.59,0.0,0.2,0.8,low_friction,27200,4.6135500942896,0.10562398366767149,0.25405282847753896,0.25405282847753896,slip,111.25484540212705,T5.5c_frozen
low_friction,lm000_ls000_le100,0.15,0.15,0.7,0.0,0.0,1.0,low_friction,27200,4.626380711988806,0.10575913714067568,0.2546464188577031,0.2546464188577031,slip,111.44581246807458,T5.5c_frozen
rough_seed_13,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough_perlin,13,4.425768838781536,0.48859726757708033,0.10512266429390613,0.48859726757708033,attitude,148.2619747782019,T5.5c_frozen
rough_seed_13,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,rough_perlin,13,4.433116592732395,0.4857931035504681,0.10645325203254057,0.4857931035504681,attitude,147.4083075334975,T5.5c_frozen
rough_seed_13,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,rough_perlin,13,4.44506749706218,0.4885280527936334,0.10705225773720929,0.4885280527936334,attitude,147.87179321752322,T5.5c_frozen
rough_seed_13,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,rough_perlin,13,4.435232842660367,0.4865090051357397,0.10806697108069026,0.4865090051357397,attitude,147.45298454721367,T5.5c_frozen
rough_seed_13,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,rough_perlin,13,4.445742421203497,0.49278800534644407,0.10611830413812595,0.49278800534644407,attitude,148.29937347109706,T5.5c_frozen
rough_seed_13,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,rough_perlin,13,4.476859539407105,0.48836031307554406,0.10630795350661566,0.48836031307554406,attitude,146.28683867532902,T5.5c_frozen
rough_seed_13,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,rough_perlin,13,4.445525657692599,0.480545692682495,0.11043256997457503,0.480545692682495,attitude,147.58274612036152,T5.5c_frozen
rough_seed_13,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,rough_perlin,13,4.437495819085529,0.4909262423856113,0.10561769191664434,0.4909262423856113,attitude,148.10000909010546,T5.5c_frozen
rough_seed_13,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,rough_perlin,13,4.47408814587878,0.48926011833435273,0.10770623222138112,0.48926011833435273,attitude,146.88120631560952,T5.5c_frozen
rough_seed_13,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,rough_perlin,13,4.487812692895135,0.48775200494741067,0.10194174757283528,0.48775200494741067,attitude,145.32719359313973,T5.5c_frozen
rough_seed_13,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,rough_perlin,13,4.4378264436335755,0.48749389613861044,0.10893466447619919,0.48749389613861044,attitude,148.25691238657458,T5.5c_frozen
