mode,idx,context,scope,rows,valid_xy,x_start,x_end,x_min,x_max,y_start,y_end,y_min,y_max,delta_y,abs_delta_y,max_abs_y,mean_abs_y,j7_rows,j7_accepted,j7_projected,j7_empirical,j7_failsafe,run_max_abs_y,run_mean_abs_y,manifest,d5_log_dir,j7_csv
j19_profile,4,downslope,context_all,469,469,6.003593,7.998868,6.003593,7.998868,-0.545849,-0.719789,-0.720782,-0.532673,-0.173940,0.173940,0.720782,0.626153,469,0,0,0,0,0.825721,0.400564,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,4,goal_flat,context_all,372,372,8.003209,8.183993,8.003209,8.184038,-0.718943,-0.803437,-0.825721,-0.696331,-0.084494,0.084494,0.825721,0.772167,0,0,0,0,0,0.825721,0.400564,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
baseline,5,flat,context_all,451,451,-0.001199,1.995967,-0.001199,1.995967,0.000365,0.029789,-0.007758,0.057924,0.029424,0.029424,0.057924,0.030070,0,0,0,0,0,0.476041,0.266975,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA
baseline,5,upslope,context_all,407,407,2.000022,3.995417,2.000022,3.995417,0.030313,-0.193072,-0.193072,0.032284,-0.223385,0.223385,0.193072,0.097872,0,0,0,0,0,0.476041,0.266975,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA
baseline,5,rough,context_all,436,436,4.001883,5.999251,4.001883,5.999251,-0.193736,-0.384479,-0.385207,-0.193736,-0.190744,0.190744,0.385207,0.329950,0,0,0,0,0,0.476041,0.266975,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA
baseline,5,downslope,context_all,499,499,6.003969,7.997313,6.003969,7.997313,-0.384132,-0.424514,-0.476041,-0.384132,-0.040382,0.040382,0.476041,0.452125,0,0,0,0,0,0.476041,0.266975,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA
baseline,5,goal_flat,context_all,332,332,8.001460,8.137728,8.001460,8.137728,-0.425505,-0.420962,-0.461654,-0.414489,0.004543,0.004543,0.461654,0.435116,0,0,0,0,0,0.476041,0.266975,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA
j19_profile,5,flat,context_all,417,417,0.080560,1.998627,0.080560,1.998627,0.009679,0.039602,0.009679,0.110339,0.029923,0.029923,0.110339,0.060575,444,444,444,0,0,0.313040,0.144577,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,5,upslope,context_all,418,418,2.003424,3.994758,2.003424,3.994758,0.037889,-0.203565,-0.207154,0.037889,-0.241454,0.241454,0.207154,0.105934,418,0,0,0,0,0.313040,0.144577,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,5,rough,context_all,423,423,4.000691,5.996636,4.000691,5.996636,-0.205084,-0.258675,-0.313040,-0.205084,-0.053591,0.053591,0.313040,0.271495,423,0,0,0,0,0.313040,0.144577,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,5,downslope,context_all,513,513,6.000217,7.998384,6.000217,7.998384,-0.259150,-0.086187,-0.259991,-0.085617,0.172963,0.172963,0.259991,0.169309,513,0,0,0,0,0.313040,0.144577,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,5,goal_flat,context_all,357,357,8.002738,8.102249,8.002738,8.120398,-0.085478,-0.061077,-0.126227,-0.061077,0.024401,0.024401,0.126227,0.102024,0,0,0,0,0,0.313040,0.144577,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
baseline,6,flat,context_all,437,437,-0.002257,1.995792,-0.002257,1.995792,0.000012,0.004306,-0.063108,0.041204,0.004293,0.004293,0.063108,0.030135,0,0,0,0,0,0.330449,0.118779,reports/phase_d4_context_meta_repeat_20260722_204355_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204355_trial_1,NA
baseline,6,upslope,context_all,424,424,2.000755,3.993891,2.000755,3.993891,0.007033,-0.010894,-0.055289,0.105441,-0.017927,0.017927,0.105441,0.054982,0,0,0,0,0,0.330449,0.118779,reports/phase_d4_context_meta_repeat_20260722_204355_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204355_trial_1,NA
baseline,6,rough,context_all,445,445,4.000255,5.995939,4.000255,5.995939,-0.010123,0.112933,-0.017676,0.112933,0.123056,0.123056,0.112933,0.050542,0,0,0,0,0,0.330449,0.118779,reports/phase_d4_context_meta_repeat_20260722_204355_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204355_trial_1,NA
baseline,6,downslope,context_all,546,546,6.001670,7.998813,6.001670,7.998813,0.112880,0.320587,0.102448,0.320587,0.207707,0.207707,0.320587,0.186761,0,0,0,0,0,0.330449,0.118779,reports/phase_d4_context_meta_repeat_20260722_204355_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204355_trial_1,NA
baseline,6,goal_flat,context_all,374,374,8.002594,8.096336,8.002594,8.126637,0.321796,0.241085,0.240185,0.330449,-0.080711,0.080711,0.330449,0.276623,0,0,0,0,0,0.330449,0.118779,reports/phase_d4_context_meta_repeat_20260722_204355_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204355_trial_1,NA
j19_profile,6,flat,context_all,435,435,0.067342,1.997574,0.067342,1.997574,0.001929,-0.202234,-0.202234,0.001929,-0.204163,0.204163,0.202234,0.133450,463,462,462,0,0,0.405720,0.297625,reports/phase_d4_context_meta_repeat_20260722_204852_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204852_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,6,upslope,context_all,428,428,2.001448,3.996561,2.001448,3.996561,-0.203275,-0.359577,-0.372633,-0.192510,-0.156302,0.156302,0.372633,0.290287,428,0,0,0,0,0.405720,0.297625,reports/phase_d4_context_meta_repeat_20260722_204852_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204852_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
