suite,split,heldout,base_tag,n_train,n_test,l1,target_beta,pred_beta
true_metric_upper_bound_g3_leaky,leave_one_rollout,m030_r2,m030,21,1,0.25975527262690307,"(0.3313, 0.1809, 0.4878)","(0.2960, 0.3108, 0.3932)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m060,m060,21,1,0.09468170764901543,"(0.4489, 0.2333, 0.3178)","(0.4016, 0.2493, 0.3492)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m060_r1,m060,21,1,0.14024356281458475,"(0.4489, 0.2333, 0.3178)","(0.3788, 0.2520, 0.3692)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,m060_r2,m060,21,1,0.14185631539013768,"(0.4489, 0.2333, 0.3178)","(0.4546, 0.2986, 0.2469)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p015,p015,21,1,0.13125824856403445,"(0.3672, 0.2869, 0.3460)","(0.3407, 0.3525, 0.3068)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p015_r1,p015,21,1,0.14531084486919849,"(0.3672, 0.2869, 0.3460)","(0.4115, 0.3152, 0.2733)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p015_r2,p015,21,1,0.24809648254284306,"(0.3672, 0.2869, 0.3460)","(0.2431, 0.3736, 0.3833)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p030,p030,21,1,0.016129937184391735,"(0.4623, 0.3365, 0.2012)","(0.4608, 0.3299, 0.2093)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p030_r1,p030,21,1,0.24449959873631869,"(0.4623, 0.3365, 0.2012)","(0.3401, 0.3381, 0.3218)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p030_r2,p030,21,1,0.3189542096424568,"(0.4623, 0.3365, 0.2012)","(0.3029, 0.3765, 0.3207)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p045,p045,21,1,0.28451510427417837,"(0.5711, 0.3831, 0.0458)","(0.4289, 0.3865, 0.1846)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p060,p060,21,1,0.6753766402206569,"(0.0265, 0.5573, 0.4162)","(0.3642, 0.3284, 0.3074)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p060_r1,p060,21,1,0.8019609411179514,"(0.0265, 0.5573, 0.4162)","(0.4275, 0.3292, 0.2433)"
true_metric_upper_bound_g3_leaky,leave_one_rollout,p060_r2,p060,21,1,0.3634986192686564,"(0.0265, 0.5573, 0.4162)","(0.0000, 0.4021, 0.5979)"
