context_id,terrain,seed,context_friction_mu,context_height_std_m,context_height_relief_p95_p05_m,context_slope_rms,context_slope_q95,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,selected_lambda_motion,selected_lambda_stability,selected_lambda_energy,selected_J_motion_s_per_m,selected_J_stability,selected_J_energy_j_per_m,regret_motion,regret_stability,regret_energy,tchebycheff_max_term,tchebycheff_aug_term,scalarization_score,pareto_count
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm000_ws100_we000,grid,0.0,1.0,0.0,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.0,0.0,0.0,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm000_ws080_we020,grid,0.0,0.8,0.2,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.0,0.0,0.0,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm000_ws060_we040,grid,0.0,0.6,0.4,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.0,0.0,0.0,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm000_ws040_we060,grid,0.0,0.4,0.6,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.0,0.0,0.0,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm000_ws020_we080,grid,0.0,0.2,0.8,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.0,0.0,0.0,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,wm000_ws000_we100,grid,0.0,0.0,1.0,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.0,0.0,0.0,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,balanced,canonical,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.544679391626769,0.2505255781359973,110.59918496615518,0.19743323458139905,0.49953124096951407,0.6755708048303816,0.22519026827679384,0.004575117601270982,0.22976538587806483,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,motion,canonical,0.7,0.15,0.15,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.10855942218696911,0.002267263523760979,0.1108266857107301,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,stability,canonical,0.15,0.7,0.15,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.15,0.0015,0.1515,6
low_friction,low_friction,27200,0.152,0.0,0.0,0.0,0.0,energy,canonical,0.15,0.15,0.7,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.566854367627028,0.2496795992077843,110.4678040997217,1.0,0.0,0.0,0.15,0.0015,0.1515,6
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm100_ws000_we000,grid,1.0,0.0,0.0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.425768838781536,0.48859726757708033,148.2619747782019,0.0,0.8099072147082177,1.0,0.0,0.0,0.0,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm080_ws020_we000,grid,0.8,0.2,0.0,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.433116592732395,0.4857931035504681,147.4083075334975,0.07933641749090085,0.527836600435501,0.7091206495906697,0.1055673200871002,0.0016903645407982087,0.1072576846278984,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm080_ws000_we020,grid,0.8,0.0,0.2,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.433116592732395,0.4857931035504681,147.4083075334975,0.07933641749090085,0.527836600435501,0.7091206495906697,0.14182412991813395,0.0020529326391085464,0.1438770625572425,9
rough_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,wm060_ws040_we000,grid,0.6,0.4,0.0,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372,0.1279930093388938,0.001279930093388938,0.12927293943228274,9
