t_wall,context,x,y,action_id,hold_override,emp_age_s,proj_age_s,theta_age_s,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,out_seq,out_vx,out_yaw_rate,out_body_h,out_clearance,out_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j7_accept,j7_reason,j7_source
1785195277.949556,flat,0.000000,0.000000,1,0,0.003318,0.003226,0.003135,5100163,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100163,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100163,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195277.999621,flat,0.000000,0.000000,1,0,0.003481,0.003419,0.003341,5100165,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100165,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100165,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.049707,flat,0.000000,0.000000,1,0,0.002980,0.002918,0.002867,5100167,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100167,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100167,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.099705,flat,0.000000,0.000000,1,0,0.003480,0.003421,0.003371,5100169,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100169,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100169,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.149592,flat,0.000000,0.000000,1,0,0.003353,0.003273,0.003209,5100171,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100171,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100171,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.199761,flat,0.000000,0.000000,1,0,0.002935,0.002877,0.002825,5100173,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100173,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100173,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.249547,flat,0.000000,0.000000,1,0,0.003370,0.003311,0.003254,5100175,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100175,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100175,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.299613,flat,0.000000,0.000000,1,0,0.002846,0.002723,0.002610,5100177,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100177,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100177,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.349956,flat,0.000000,0.000000,1,0,0.003619,0.003520,0.003444,5100179,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100179,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100179,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.399550,flat,0.000000,0.000000,1,0,0.002246,0.002130,0.002068,5100181,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100181,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100181,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.449503,flat,0.000000,0.000000,1,0,0.003237,0.003172,0.003119,5100183,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100183,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100183,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.499542,flat,0.000000,0.000000,1,0,0.003235,0.003166,0.003115,5100185,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100185,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100185,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.549709,flat,0.000000,0.000000,1,0,0.003017,0.002952,0.002902,5100187,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100187,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100187,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.599624,flat,0.000000,0.000000,1,0,0.003429,0.003367,0.003315,5100189,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100189,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100189,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.649628,flat,0.000000,0.000000,1,0,0.003458,0.003400,0.003350,5100191,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100191,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100191,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.699526,flat,0.000000,0.000000,1,0,0.002338,0.002153,0.002080,5100193,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100193,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100193,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.749632,flat,0.000000,0.000000,1,0,0.003433,0.003359,0.003291,5100195,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100195,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100195,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.799552,flat,0.000000,0.000000,1,0,0.003361,0.003297,0.003245,5100197,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100197,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100197,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.849648,flat,0.000000,0.000000,1,0,0.003473,0.003413,0.003362,5100199,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100199,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100199,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
1785195278.899712,flat,0.000000,0.000000,1,0,0.003186,0.003118,0.003054,5100201,0.00000000,0.00000000,0.32000000,0.04500000,1.00000000,5100201,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,5100201,0.00000000,0.00000000,0.32000000,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00500000,1,accepted_guarded,projected
