context_id,context_index,group,terrain,seed,source_beta_name,cost_motion,cost_stability,cost_energy,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_hat_dominant,beta_hat_entropy,beta_hat_interior_005,beta_gen_motion,beta_gen_stability,beta_gen_energy,beta_hat_gen_l1,original_beta_regret,original_beta_consistent,selection_evidence_required
low_friction:low_friction:27036,19,low_friction,low_friction,27036,stability,0.20958940307754007,0.010076308761310031,0.574001159994393,175.5633186256846,7.151999999999999,0.005152921677327794,0.026279636989052994,0.2146844528615475,True,strict,0.0019506597771101752,0.0,0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,0.00045516032239240056,False,True
rough_test:rough_perlin:19,22,rough_test,rough_perlin,19,balanced,0.2112213687137821,0.13256274535188112,0.7204480063403609,220.35537853548504,7.127999999999999,0.009654563226669757,0.09527320248677573,0.21047598618481844,True,strict,0.0004808768356782398,0.2867041783506455,0.7132958216493546,0.0,stability,0.5453918776892412,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7599249766320424,0.003393331399436428,False,True
rough_test:rough_perlin:19,22,rough_test,rough_perlin,19,motion,0.20693514273477923,0.1349597252322062,0.7121572582407294,211.59616351423904,6.9380000000000015,0.009967147110790312,0.09611375346757565,0.21537497959592763,True,strict,0.005326040843921072,0.7403398374148659,0.0,0.25966016258513414,motion,0.5212950588441554,False,0.7,0.15,0.15,0.30000000000000004,0.0,True,True
rough_test:rough_perlin:19,22,rough_test,rough_perlin,19,stability,0.2151991001340953,0.1316380863774922,0.7091067478135388,216.88655456241122,7.164000000000004,0.009069608418533874,0.09495828163802798,0.20781751727951425,True,strict,0.0032511195143848596,0.0,0.7399042919501053,0.2600957080498947,stability,0.5217099852707717,False,0.15,0.7,0.15,0.30000000000000004,0.0,True,True
rough_test:rough_perlin:2,20,rough_test,rough_perlin,2,balanced,0.23582894590470005,0.12865139586402446,0.637651402753908,217.3205991132149,7.964000000000004,0.012696503547836012,0.09383520528505906,0.21100651894051295,True,strict,0.0016388660011147672,0.9117367751053977,0.0,0.0882632248946022,motion,0.2717073527848428,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.156806883544129,0.007008757815374189,False,True
rough_test:rough_perlin:2,20,rough_test,rough_perlin,2,energy,0.23938313893765772,0.12221690688314556,0.6195054252557066,211.13619383413484,7.970000000000003,0.011973229432924884,0.09150254404668798,0.20731774974757664,True,strict,0.010353713158932298,0.0,-0.0,1.0,energy,-0.0,False,0.15,0.15,0.7,0.6000000000000001,0.0,True,True
rough_test:rough_perlin:2,20,rough_test,rough_perlin,2,motion,0.23092019234896666,0.14304046100854315,0.7069255216761162,234.75249936024792,7.742000000000003,0.013729831176442837,0.09898254424352605,0.21575199981269086,True,strict,0.004908753555733392,1.0,0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.010312484969787317,False,True
rough_test:rough_perlin:26,23,rough_test,rough_perlin,26,motion,0.21157141495884335,0.05418465809871795,0.6239649689758384,190.84519038365804,7.154000000000001,0.005627483419505183,0.06094060968376102,0.21534397819212509,True,strict,0.004967325859739358,1.0,0.0,0.0,motion,-0.0,False,0.7,0.15,0.15,0.6000000000000001,0.0,True,True
rough_test:rough_perlin:26,23,rough_test,rough_perlin,26,stability,0.21933279402294006,0.05194723754667422,0.6036099744152804,189.89427674616383,7.352000000000001,0.00497028543544347,0.05966781448519788,0.20779526772287987,True,strict,0.0026096253090740484,-0.0,0.0,1.0,energy,-0.0,False,0.15,0.7,0.15,1.7,0.0,True,True
rough_test:rough_perlin:27,24,rough_test,rough_perlin,27,balanced,0.21121783848671793,0.16666572371585406,0.6915372061523868,211.5127552467544,7.147999999999999,0.011939680997795212,0.10684829129101522,0.21076817133596967,True,strict,0.00046306761675853677,0.7595605301589131,0.0,0.240439469841087,motion,0.5020751838066317,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8524543936511595,0.0029791511025286654,False,True
