d7_group,t_h2,t_d7,dt_abs,h2_context,d7_context,known_context,h2_beta_motion,h2_beta_stability,h2_beta_energy,d7_beta_motion,d7_beta_stability,d7_beta_energy,l1
prior_beta,1784666628.285773,1784666628.297446,0.011673,flat,flat,1,0.98496273,0.00000000,0.01503727,0.45000000,0.25000000,0.30000000,1.06992546
raw_beta,1784666628.285773,1784666628.297446,0.011673,flat,flat,1,0.98496273,0.00000000,0.01503727,0.54061749,0.18790847,0.27147404,0.88869048
actual_beta,1784666628.385794,1784666628.397507,0.011713,flat,flat,1,0.96188152,0.00000000,0.03811848,0.45000000,0.25000000,0.30000000,1.02376304
pred_beta,1784666628.385794,1784666628.397507,0.011713,flat,flat,1,0.96188152,0.00000000,0.03811848,0.52244256,0.20036945,0.27718799,0.87887792
prior_beta,1784666628.385794,1784666628.397507,0.011713,flat,flat,1,0.96188152,0.00000000,0.03811848,0.45000000,0.25000000,0.30000000,1.02376304
raw_beta,1784666628.385794,1784666628.397507,0.011713,flat,flat,1,0.96188152,0.00000000,0.03811848,0.54055320,0.18796182,0.27148498,0.84265664
actual_beta,1784666628.485826,1784666628.497109,0.011283,flat,flat,1,0.95450528,0.00000000,0.04549472,0.45000000,0.25000000,0.30000000,1.00901056
pred_beta,1784666628.485826,1784666628.497109,0.011283,flat,flat,1,0.95450528,0.00000000,0.04549472,0.52233039,0.20051239,0.27715722,0.86434979
prior_beta,1784666628.485826,1784666628.497109,0.011283,flat,flat,1,0.95450528,0.00000000,0.04549472,0.45000000,0.25000000,0.30000000,1.00901056
raw_beta,1784666628.485826,1784666628.497109,0.011283,flat,flat,1,0.95450528,0.00000000,0.04549472,0.54041298,0.18814049,0.27144652,0.82818459
actual_beta,1784666628.585629,1784666628.596980,0.011351,flat,flat,1,0.93174051,0.00000000,0.06825949,0.45000000,0.25000000,0.30000000,0.96348102
pred_beta,1784666628.585629,1784666628.596980,0.011351,flat,flat,1,0.93174051,0.00000000,0.06825949,0.52220748,0.20067535,0.27711717,0.81906606
prior_beta,1784666628.585629,1784666628.596980,0.011351,flat,flat,1,0.93174051,0.00000000,0.06825949,0.45000000,0.25000000,0.30000000,0.96348102
raw_beta,1784666628.585629,1784666628.596980,0.011351,flat,flat,1,0.93174051,0.00000000,0.06825949,0.54025935,0.18834418,0.27139647,0.78296233
actual_beta,1784666628.685799,1784666628.697255,0.011456,flat,flat,1,0.89285639,0.00000000,0.10714361,0.45000000,0.25000000,0.30000000,0.88571278
pred_beta,1784666628.685799,1784666628.697255,0.011456,flat,flat,1,0.89285639,0.00000000,0.10714361,0.52207881,0.20085014,0.27707105,0.74155515
prior_beta,1784666628.685799,1784666628.697255,0.011456,flat,flat,1,0.89285639,0.00000000,0.10714361,0.45000000,0.25000000,0.30000000,0.88571278
raw_beta,1784666628.685799,1784666628.697255,0.011456,flat,flat,1,0.89285639,0.00000000,0.10714361,0.54009852,0.18856268,0.27133881,0.70551575
actual_beta,1784666628.785677,1784666628.797494,0.011817,flat,flat,1,0.87279011,0.00000000,0.12720989,0.45000000,0.25000000,0.30000000,0.84558022
pred_beta,1784666628.785677,1784666628.797494,0.011817,flat,flat,1,0.87279011,0.00000000,0.12720989,0.52193526,0.20104832,0.27701642,0.70170970
