representation,context_id,eta_name,selected_beta,oracle_beta,true_rank,exact,top3,top5,Q_excess_eta,beta_changed_vs_learned_balanced,target_improved,target_tied,target_worsened,delta_target_regret,delta_other_regret_mean
semantic_plus_prop_probe,rough_seed_10,motion_biased,lm060_ls020_le020,lm080_ls020_le000,8,0,0,0,0.12445712658575056,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_10,stability_biased,lm060_ls020_le020,lm040_ls000_le060,10,0,0,0,0.07625516735373955,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_10,energy_biased,lm060_ls020_le020,lm080_ls020_le000,2,0,1,1,0.026515531867813136,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_11,balanced,lm000_ls080_le020,lm020_ls080_le000,10,0,0,0,0.749905260502671,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_11,motion_biased,lm000_ls100_le000,lm100_ls000_le000,6,0,0,0,0.5540408865442786,1,1,0,0,-2.0474198023433794,-1.6916308297245068
semantic_plus_prop_probe,rough_seed_11,stability_biased,lm000_ls080_le020,lm020_ls080_le000,6,0,0,0,0.3390986645577858,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_11,energy_biased,lm100_ls000_le000,lm000_ls100_le000,3,0,1,1,0.547591313806471,1,1,0,0,-2.112101658983183,-1.1729187494974886
semantic_plus_prop_probe,rough_seed_12,balanced,lm080_ls000_le020,lm100_ls000_le000,3,0,1,1,0.006007828421616956,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_12,motion_biased,lm080_ls000_le020,lm100_ls000_le000,7,0,0,0,0.4883915582195467,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_12,stability_biased,lm060_ls000_le040,lm040_ls040_le020,10,0,0,0,0.6254258118510478,1,0,0,1,0.19239192429631646,0.6303057207172795
semantic_plus_prop_probe,rough_seed_12,energy_biased,lm100_ls000_le000,lm100_ls000_le000,1,1,1,1,0.0,1,1,0,0,-1.0,-0.4011742632425507
semantic_plus_prop_probe,rough_seed_13,balanced,lm000_ls100_le000,lm080_ls020_le000,8,0,0,0,0.03270896035207965,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_13,motion_biased,lm000_ls100_le000,lm080_ls020_le000,8,0,0,0,0.07115253433137764,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_13,stability_biased,lm000_ls080_le020,lm040_ls060_le000,20,0,0,0,0.7513727005538565,1,0,0,1,1.1871151774818438,0.13642841381384452
semantic_plus_prop_probe,rough_seed_13,energy_biased,lm000_ls100_le000,lm040_ls000_le060,15,0,0,0,0.4618641580046294,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_15,balanced,lm060_ls020_le020,lm060_ls040_le000,17,0,0,0,0.19997271527940827,0,0,1,0,0.0,0.0
semantic_plus_prop_probe,rough_seed_15,motion_biased,lm100_ls000_le000,lm040_ls060_le000,4,0,0,1,0.024899701771312427,1,0,0,1,0.08139666427211761,-0.3256839423583192
semantic_plus_prop_probe,rough_seed_15,stability_biased,lm060_ls040_le000,lm000_ls040_le060,7,0,0,0,0.08104917830102726,1,1,0,0,-0.7474645386224001,0.050157322645387734
