signature_id,context_id,terrain,mission,selected_beta_name,alternative_beta_names,choice_size,raw_decision_multiplicity,calibration_weight,exact_support_class,posterior_mean_motion,posterior_mean_stability,posterior_mean_energy,posterior_std_motion,posterior_std_stability,posterior_std_energy,posterior_map_motion,posterior_map_stability,posterior_map_energy,motion_q05,motion_q95,stability_q05,stability_q95,energy_q05,energy_q95,posterior_entropy_nats,posterior_entropy_normalized,posterior_information_gain_nats,posterior_effective_fraction,log_marginal_evidence,map_selected_choice_probability,posterior_expected_choice_probability
216,flat_train:flat:27115,flat,stable,motion,balanced|energy|stability,4,1,0.16666666666666666,strict,0.5504562356244223,0.3171388982209671,0.13240486615461142,0.22564979765123827,0.23542797022242687,0.10663456402010647,1.0,0.0,0.0,0.14,0.89,0.02,0.77,0.0,0.34,7.905223086181286,0.9249178534467641,0.6417230633842985,0.526384648076721,-1.2760125294649285,0.9652759562588004,0.6197997389409848
217,flat_train:flat:27115,flat,efficient,balanced,motion,2,5,0.3333333333333333,strict,0.23388888587146708,0.3265494016727541,0.4395617124557805,0.18136403850629285,0.23582139320789888,0.23477088884859454,0.0,0.0,1.0,0.01,0.58,0.02,0.77,0.06,0.84,8.396123213869625,0.9823535876959251,0.15082293569595961,0.8599999604732174,-0.5483546958356911,0.9936665797238573,0.7281827199500002
218,flat_train:flat:27115,flat,efficient,energy,balanced|motion,3,3,0.3333333333333333,strict,0.20489328393726378,0.3098291994813406,0.4852775165813941,0.1593985881303133,0.22920719500054962,0.22558437860891395,0.0,0.0,1.0,0.01,0.51,0.02,0.75,0.11,0.85,8.260654411870144,0.9665036221492992,0.28629173769544103,0.751043476289842,-0.8053273410362092,0.9726936735078361,0.6653388652873287
219,flat_train:flat:27115,flat,efficient,stability,balanced|energy|motion,4,1,0.3333333333333333,strict,0.2025204722150816,0.29863343460331365,0.49884609318160306,0.15559096686015833,0.22364979029196946,0.2189009467729457,0.0,0.0,1.0,0.01,0.5,0.02,0.73,0.13,0.86,8.214627107184503,0.9611183881861742,0.3323190423810818,0.717258450502495,-0.8685781956975065,0.9571446152144105,0.6541373475682526
220,flat_train:flat:27116,flat,fast,balanced,motion,2,1,0.16666666666666666,strict,0.21968758373429215,0.34787172004907263,0.4324406962166344,0.18315112284967314,0.24439681278948974,0.251033606894709,0.0,0.0,1.0,0.01,0.59,0.02,0.8,0.04,0.85,8.399744893206384,0.982777327271837,0.14720125635920134,0.8631202514958134,-1.0076978653747242,0.8022002096564401,0.4652500991668805
221,flat_train:flat:27116,flat,fast,balanced,stability,2,1,0.16666666666666666,strict,0.49667142775173395,0.3479130365988483,0.1554155356494176,0.23931415568491166,0.2466354226131851,0.12625049071133856,1.0,0.0,0.0,0.08,0.87,0.02,0.81,0.01,0.4,8.113365919547848,0.9492707427389402,0.4335802300177374,0.6481842866926163,-0.9840815795210949,0.9836224749088243,0.6596513120670782
222,flat_train:flat:27116,flat,fast,balanced,motion|stability,3,1,0.16666666666666666,unsupported,0.3464519603588485,0.44134607928623115,0.2122019603549178,0.21190684162580214,0.25661221890992647,0.1512699317681719,0.0,1.0,0.0,0.03,0.72,0.04,0.86,0.01,0.49,8.282598300896934,0.969071075909132,0.2643478486686508,0.7677064475398891,-2.1143486926434125,0.3174412602111049,0.17549754389358313
223,flat_train:flat:27116,flat,fast,stability,energy,2,1,0.16666666666666666,strict,0.2840232329150735,0.3194198602385832,0.396556906846343,0.2170451856710268,0.2338137025113559,0.2439184179146737,0.0,0.0,1.0,0.02,0.71,0.02,0.76,0.04,0.82,8.506263890052598,0.9952401408876251,0.04068225951298743,0.9601341549798319,-0.4702139690174363,0.9501215217088768,0.6741077570110264
224,flat_train:flat:27116,flat,fast,balanced,energy|stability,3,1,0.16666666666666666,strict,0.5159461740926732,0.33357094293738626,0.1504828829699404,0.23993097723974294,0.2423329492984789,0.12616580286852105,1.0,0.0,0.0,0.09,0.88,0.02,0.79,0.01,0.4,8.078848821426524,0.945232212775454,0.468097328139061,0.6261925745335982,-1.2304150916948267,0.9366891970227507,0.5500998945077726
225,flat_train:flat:27116,flat,fast,balanced,energy|motion|stability,4,1,0.16666666666666666,unsupported,0.3627100107038583,0.4302660180812887,0.20702397121485275,0.21460533002715249,0.2551826166493729,0.15086611490734436,0.08,0.92,0.0,0.04,0.74,0.04,0.86,0.01,0.49,8.287143981217907,0.9696029243894461,0.25980216834767766,0.7712041393022692,-2.2802283932667686,0.2521604299830606,0.14718853035757448
226,flat_train:flat:27116,flat,stable,motion,balanced,2,1,0.16666666666666666,strict,0.3986737367243651,0.32497451607872613,0.2763517471969091,0.24318871442673673,0.23577340920618176,0.21212220262440398,1.0,0.0,0.0,0.04,0.82,0.02,0.77,0.01,0.69,8.4989520255757,0.9943846464982906,0.04799412398988423,0.9531393877177338,-0.45422229469250475,0.9625426626289516,0.6925465813105525
227,flat_train:flat:27116,flat,stable,balanced,stability,2,1,0.16666666666666666,strict,0.49667142775173395,0.3479130365988483,0.1554155356494176,0.23931415568491166,0.2466354226131851,0.12625049071133856,1.0,0.0,0.0,0.08,0.87,0.02,0.81,0.01,0.4,8.113365919547848,0.9492707427389402,0.4335802300177374,0.6481842866926163,-0.9840815795210949,0.9836224749088243,0.6596513120670782
228,flat_train:flat:27116,flat,stable,motion,balanced|stability,3,1,0.16666666666666666,strict,0.503381155107233,0.3268392934592903,0.169779551433476,0.22760085781512734,0.23826630528622497,0.13042531241037528,1.0,0.0,0.0,0.11,0.86,0.02,0.78,0.01,0.42,8.124948472646034,0.9506259113448375,0.4219976769195508,0.6557355627181378,-0.9336407447902504,0.9619427252142905,0.6714105519703489
229,flat_train:flat:27116,flat,stable,stability,energy,2,1,0.16666666666666666,strict,0.2840232329150735,0.3194198602385832,0.396556906846343,0.2170451856710268,0.2338137025113559,0.2439184179146737,0.0,0.0,1.0,0.02,0.71,0.02,0.76,0.04,0.82,8.506263890052598,0.9952401408876251,0.04068225951298743,0.9601341549798319,-0.4702139690174363,0.9501215217088768,0.6741077570110264
230,flat_train:flat:27116,flat,stable,balanced,energy|stability,3,1,0.16666666666666666,strict,0.5159461740926732,0.33357094293738626,0.1504828829699404,0.23993097723974294,0.2423329492984789,0.12616580286852105,1.0,0.0,0.0,0.09,0.88,0.02,0.79,0.01,0.4,8.078848821426524,0.945232212775454,0.468097328139061,0.6261925745335982,-1.2304150916948267,0.9366891970227507,0.5500998945077726
231,flat_train:flat:27116,flat,stable,motion,balanced|energy|stability,4,1,0.16666666666666666,strict,0.5205839587702605,0.3158078975817871,0.16360814364795212,0.22479496417162564,0.23352694609717423,0.12781413668717975,1.0,0.0,0.0,0.12,0.87,0.02,0.76,0.01,0.41,8.080823751385292,0.9454632812675455,0.46612239818029266,0.627430482997903,-1.036820251919206,0.9601119082926001,0.6451397098141486
232,flat_train:flat:27116,flat,efficient,balanced,motion,2,5,0.3333333333333333,strict,0.21968758373429215,0.34787172004907263,0.4324406962166344,0.18315112284967314,0.24439681278948974,0.251033606894709,0.0,0.0,1.0,0.01,0.59,0.02,0.8,0.04,0.85,8.399744893206384,0.982777327271837,0.14720125635920134,0.8631202514958134,-1.0076978653747242,0.8022002096564401,0.4652500991668805
233,flat_train:flat:27116,flat,efficient,stability,balanced|motion,3,3,0.3333333333333333,strict,0.1925739418072784,0.31176572615388365,0.4956603320388366,0.14637437510228282,0.22814254637132106,0.21596405321774803,0.0,0.0,1.0,0.01,0.47,0.02,0.75,0.13,0.85,8.182234182259226,0.9573283883010195,0.36471196730635924,0.6943966310082726,-0.7212004953285902,0.9993130254285694,0.7776745019294264
234,flat_train:flat:27116,flat,efficient,stability,balanced|energy|motion,4,1,0.3333333333333333,strict,0.19246117545343897,0.3018502086728088,0.5056886158737517,0.14806055463849882,0.22548315845930675,0.21931292028289195,0.0,0.0,1.0,0.01,0.48,0.02,0.74,0.13,0.86,8.181208056343783,0.9572083306924319,0.3657380932218022,0.6936844580816363,-0.9156199072411875,0.9495013472811709,0.6497767278363411
235,flat_train:flat:27117,flat,fast,balanced,motion,2,1,0.16666666666666666,strict,0.23359472102551138,0.32443654156791324,0.44196873740657416,0.18141453261743018,0.2349622939012994,0.23446463144798882,0.0,0.0,1.0,0.01,0.58,0.02,0.77,0.07,0.84,8.392900054276069,0.9819764752703695,0.15404609528951596,0.8572325057201962,-0.5613049169868605,0.9933227973048321,0.7228269517869498
236,flat_train:flat:27117,flat,fast,balanced,stability,2,1,0.16666666666666666,strict,0.4824594510416295,0.34323036796334117,0.1743101809950287,0.23904550269363808,0.2441195139541898,0.14120936085153427,1.0,0.0,0.0,0.08,0.86,0.02,0.8,0.01,0.45,8.204800327760932,0.959968646599927,0.34214582180465314,0.7102446280040888,-0.8897450945063667,0.9814347412570983,0.656009855312091
