packet_index,sim_time,schedule_offset,window,condition,command,expected_delta,leg,leg_index,phase,swing,shape,bump,target_z,actual_z,tracking_error,native_target_z,realized_relative_z,base_z,roll_deg,pitch_deg,yaw_deg,base_vz
208,58.95975,18.930696964263916,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3653613801563898,-0.3653613801563898,0.0,-0.3653613801563898,0.0,0.36506227856755136,-0.37407472617561444,-2.3621719383760222,-0.6696285644271551,0.01724508482320053
208,58.95975,18.930696964263916,A2,A,0.045,0.0,FR,1,0.20000000298023224,1,0.40960000915527345,0.0,-0.30096792214501067,-0.31896279734490024,-0.01799487519988957,-0.30096792214501067,-0.01799487519988957,0.36506227856755136,-0.37407472617561444,-2.3621719383760222,-0.6696285644271551,0.01724508482320053
208,58.95975,18.930696964263916,A2,A,0.045,0.0,RL,2,0.20000000298023224,1,0.40960000915527345,0.0,-0.30057236268830523,-0.3201313126058186,-0.01955894991751339,-0.30057236268830523,-0.01955894991751339,0.36506227856755136,-0.37407472617561444,-2.3621719383760222,-0.6696285644271551,0.01724508482320053
208,58.95975,18.930696964263916,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.36309951475489116,-0.36309951475489116,0.0,-0.36309951475489116,0.0,0.36506227856755136,-0.37407472617561444,-2.3621719383760222,-0.6696285644271551,0.01724508482320053
209,58.98,19.011796951293945,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.3629028042334477,-0.3629028042334477,0.0,-0.3629028042334477,0.0,0.36463166885846615,0.11091451161355553,-2.317156032919361,-0.6539870622461935,-0.06405258583943754
209,58.98,19.011796951293945,A2,A,0.045,0.0,FR,1,0.30000001192092896,1,0.7056000320434566,0.0,-0.25403089710485766,-0.2712156118312196,-0.01718471472636196,-0.25403089710485766,-0.01718471472636196,0.36463166885846615,0.11091451161355553,-2.317156032919361,-0.6539870622461935,-0.06405258583943754
209,58.98,19.011796951293945,A2,A,0.045,0.0,RL,2,0.30000001192092896,1,0.7056000320434566,0.0,-0.25371621681792234,-0.2729128620841845,-0.01919664526626219,-0.25371621681792234,-0.01919664526626219,0.36463166885846615,0.11091451161355553,-2.317156032919361,-0.6539870622461935,-0.06405258583943754
209,58.98,19.011796951293945,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.36290386997583396,-0.36290386997583396,0.0,-0.36290386997583396,0.0,0.36463166885846615,0.11091451161355553,-2.317156032919361,-0.6539870622461935,-0.06405258583943754
210,59.00025,19.09261393547058,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.36472120851003204,-0.36472120851003204,0.0,-0.36472120851003204,0.0,0.3647487068995807,-0.44126986804670765,-2.1410959115269876,-0.5949912484232277,0.07508578968983462
210,59.00025,19.09261393547058,A2,A,0.045,0.0,FR,1,0.4000000059604645,1,0.9216000091552732,0.0,-0.2189575619917062,-0.23059611038112945,-0.011638548389423242,-0.2189575619917062,-0.011638548389423242,0.3647487068995807,-0.44126986804670765,-2.1410959115269876,-0.5949912484232277,0.07508578968983462
210,59.00025,19.09261393547058,A2,A,0.045,0.0,RL,2,0.4000000059604645,1,0.9216000091552732,0.0,-0.21872810660742562,-0.23207265436706498,-0.013344547759639364,-0.21872810660742562,-0.013344547759639364,0.3647487068995807,-0.44126986804670765,-2.1410959115269876,-0.5949912484232277,0.07508578968983462
210,59.00025,19.09261393547058,A2,A,0.045,0.0,RR,3,0.0,0,0.0,0.0,-0.36366371215675725,-0.36366371215675725,0.0,-0.36366371215675725,0.0,0.3647487068995807,-0.44126986804670765,-2.1410959115269876,-0.5949912484232277,0.07508578968983462
211,59.02025,19.173322916030884,A2,A,0.045,0.0,FL,0,0.0,0,0.0,0.0,-0.363796746871275,-0.363796746871275,0.0,-0.363796746871275,0.0,0.36587455292891524,-0.03775302308272447,-1.9917737093346648,-0.5334080671071462,-0.009366577242864568
