context_id,seed,split_group,context_sha256,probe_safety_state_diagnostic,beta_index,beta_name,beta_motion,beta_stability,beta_energy,pred_regret_motion,pred_regret_stability,pred_regret_energy,pred_Q_balanced,pred_Q_motion_biased,pred_Q_stability_biased,pred_Q_energy_biased
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,14,lm040_ls060_le000,0.37,0.48,0.15,0.0,2.1133606473818016,2.231337751979151,0.7582615786575868,0.34121771039591403,1.4974929843269025,1.580725831620332
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,15,lm060_ls000_le040,0.48,0.15,0.37,0.5647285457505065,4.478487353815661,0.6327760851696922,1.5117490912210063,0.6833930980510806,3.168086816094052,0.6837673595178861
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,16,lm060_ls020_le020,0.48,0.26,0.26,0.0,1.8124435111654755,0.6128284892594082,0.6122320770565748,0.27550443467545865,1.2823168051278802,0.43598840717314985
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,17,lm060_ls040_le000,0.48,0.37,0.15,0.0,2.359568369696738,2.382602175872881,0.810007960442859,0.3645035821992866,1.671788740639403,1.688039090896672
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,18,lm080_ls000_le020,0.5900000000000001,0.15,0.26,0.0,1.8819083303153745,0.5765537041396924,0.6354976502199751,0.2859739425989888,1.3313740200891793,0.41044633132223557
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,19,lm080_ls020_le000,0.5900000000000001,0.26,0.15,0.0,2.7062830276285093,2.286441578493544,0.9187367578965766,0.4134315410534595,1.9167717629010963,1.6205736205363783
rough_seed_21,21,val,35f4300228a5cd5dbcbb1daf2394c2d089a3b1fa5aec16d79792be52a5bb99d4,normal,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.0,2.979737276817209,2.0367755807454104,1.0099674684642783,0.45448536080892527,2.1097294180808848,1.4444699415022308
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,0,lm000_ls000_le100,0.15,0.15,0.7000000000000001,3.4866250016567077,1.0233833383048885,0.44592354921186045,1.1787281068494806,2.467247836502567,0.729430843007859,0.5328802276029315
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,1,lm000_ls020_le080,0.15,0.26,0.5900000000000001,2.712093669480518,1.2600115608223201,0.4554062489683839,0.9187895947577434,1.9200233510374123,0.8955794233790537,0.4159600520103106
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,2,lm000_ls040_le060,0.15,0.37,0.48,2.0439762444546203,1.1577703938906265,0.6233829464886624,0.6940758467676531,1.4477629348399854,0.8225447072670878,0.44553436312500216
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,3,lm000_ls060_le040,0.15,0.48,0.37,1.353292061780536,0.5620223810578264,0.7310032144202223,0.4599184127843739,0.9587170260720559,0.40047626632218436,0.5196922442593547
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.6548864716252498,0.15588763992171556,0.6702748418920547,0.22836177714214828,0.4642439791617723,0.11220030339492885,0.4751004743850031
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.0,0.02966198286100495,1.1316409214154635,0.38108465015274273,0.1714880925687342,0.17165123347446976,0.8001146244150241
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,6,lm020_ls000_le080,0.26,0.15,0.5900000000000001,2.6713748820970085,1.2779318038163745,0.36594934218770436,0.904842480792673,1.8911278633615909,0.9080537716346038,0.4091918377387353
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,7,lm020_ls020_le060,0.26,0.26,0.48,1.9553463967216802,1.219745264879609,0.5639581779728101,0.6642456317058071,1.3851054576465063,0.8661388591319252,0.40348106931917865
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,8,lm020_ls040_le040,0.26,0.37,0.37,1.207138822206193,0.5398618717149735,0.6897344245257337,0.4105020577968873,0.8552915417441395,0.3845276531725841,0.4902627391805755
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,9,lm020_ls060_le020,0.26,0.48,0.26,0.5226906373992548,0.35650439044830434,0.6981519207990705,0.23797513009517893,0.37112426510814417,0.25387986788424866,0.49491220054671414
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,10,lm020_ls080_le000,0.26,0.5900000000000001,0.15,0.0,0.28485681946307995,1.0337913991299579,0.3489926271052961,0.15704668219738321,0.20294445845909245,0.7313178044140748
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,11,lm040_ls000_le060,0.37,0.15,0.48,1.9191088909805907,1.215054987044341,0.5249634224135447,0.6519000546616585,1.3594200135374643,0.8627099843104402,0.3758503854634135
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,12,lm040_ls020_le040,0.37,0.26,0.37,1.119114617863944,0.517372820296762,0.6283965113238993,0.38058781911959666,0.7929326888272393,0.3684038506435925,0.4467310646632378
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,13,lm040_ls040_le020,0.37,0.37,0.26,0.42961495218837353,0.45313860394297745,0.6480288192333894,0.22111221432901226,0.30538952233194466,0.3219854586448177,0.45948050553220326
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,14,lm040_ls060_le000,0.37,0.48,0.15,0.0,0.46534381036305755,0.8581471373487919,0.2904606822753034,0.13070730702388655,0.33028529463270484,0.6074080418211404
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,15,lm060_ls000_le040,0.48,0.15,0.37,1.0749637928788798,0.5246161270521656,0.6108607088888123,0.3656893997223594,0.7617026168192794,0.3734323385785326,0.4342778910642868
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,16,lm060_ls020_le020,0.48,0.26,0.26,0.36816030658511145,0.4767803129180035,0.5366079265673694,0.18347447067602476,0.26180941911490185,0.3384408335827572,0.38064921501238486
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,17,lm060_ls040_le000,0.48,0.37,0.15,0.0,0.5425283763901667,0.6103269805447091,0.2072851780380193,0.09327833011710869,0.38448305257866494,0.4323149678096946
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,18,lm080_ls000_le020,0.5900000000000001,0.15,0.26,0.33071652055579925,0.4654306739090427,0.4348701511557034,0.15924694912174936,0.2351670312705472,0.3302078664612604,0.3086474176587795
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,19,lm080_ls020_le000,0.5900000000000001,0.26,0.15,0.0,0.5320342942236481,0.3402693930768591,0.18025244369888438,0.08111359966449797,0.3766586501057345,0.24136851234667484
rough_seed_16,16,val,014fed67c54c0e2757db899bb315d1bc663f8aaca19622fc4163d7ca59ed81e7,normal,20,lm100_ls000_le000,0.7000000000000001,0.15,0.15,0.0,0.4527916916766439,0.1053353343218299,0.15279098731220953,0.0687559442904943,0.32028172901686996,0.0751512689030487
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,0,lm000_ls000_le100,0.15,0.15,0.7000000000000001,2.8898586619034967,3.4071281230257,0.9823082358654969,1.1599736910778824,2.0497142285041092,2.4146478333258234,0.7039374029343001
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,1,lm000_ls020_le080,0.15,0.26,0.5900000000000001,2.227030151119839,2.382929982170196,0.8577158777778087,0.8125355807602914,1.5793712856316482,1.689358616437675,0.6133200657888457
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,2,lm000_ls040_le060,0.15,0.37,0.48,1.6901966007163092,1.70982973398438,0.9325181926226922,0.5843850597525378,1.198932518596341,1.212783694116965,0.6643904016862944
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,3,lm000_ls060_le040,0.15,0.48,0.37,1.2044758813997622,2.8767789154774785,1.032553725050324,0.9759723335655847,0.8574284471104235,2.0372382376522524,0.7361373658058948
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,4,lm000_ls080_le020,0.15,0.5900000000000001,0.26,0.5196466529659518,3.436658865672062,1.1209932841122225,1.1624772845665214,0.5259728346462474,2.432178777935765,0.7984767101452983
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,5,lm000_ls100_le000,0.15,0.7000000000000001,0.15,0.0,3.1358712496987806,2.7491207392359005,1.064907056529376,0.47920817543821914,2.2211846546458918,1.9483321695143296
rough_seed_14,14,val,854a99b34e4cf8fcbab0c6b7b9a9471a9a19f43fb8799c14e74aad07182bc92b,normal,6,lm020_ls000_le080,0.26,0.15,0.5900000000000001,2.2292788046200056,2.6279580794200816,1.1076872766613917,0.8958691070090321,1.581703582900466,1.8629718112719196,0.790420759925664
