representation,held_context,context_dim,model_input_dim,train_samples,ensemble_size,final_standardized_mse_mean,train_mae_J_motion,train_mae_J_stability,train_mae_J_energy,held_mae_J_motion,held_mae_J_stability,held_mae_J_energy,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline
semantic_plus_probe,rough_seed_15,81,84,672,3,0.003486191931491097,0.004325859944666603,0.0011293922847453533,0.34609813590454,0.08391115338007114,0.11733418080139488,19.9491338294631,0.3532467532467533,-0.43376623376623374,-0.4090909090909091,0.07662337662337662,lm060_ls040_le000,lm040_ls000_le060,lm080_ls020_le000,8,0,0,0,0.12127889777638276,0.0068616204234064615,0
semantic_plus_probe,rough_seed_0,81,84,672,3,0.003065680464108785,0.00451041936748614,0.001152575983105564,0.34622317508652456,0.21873232510086485,0.24276995731100154,10.700293646859373,0.9337662337662337,-0.14415584415584418,-0.4896103896103896,0.1012987012987013,lm100_ls000_le000,lm000_ls040_le060,lm080_ls020_le000,9,0,0,0,0.11910903284715613,0.1191408580715218,1
semantic_plus_probe,rough_seed_5,81,84,672,3,0.003226569931333264,0.004602945739745954,0.0011655417492860652,0.3778292662078907,0.030170878989288073,0.017136195862605504,7.062914956674041,0.8935064935064935,0.4909090909090909,0.5402597402597402,-0.5662337662337662,lm060_ls020_le020,lm000_ls040_le060,lm080_ls020_le000,15,0,0,0,0.13504226187794194,0.04604145419202896,0
semantic_plus_probe,rough_seed_11,81,84,672,3,0.003103878969947497,0.004332269956944258,0.0011755834883258038,0.37487935767911,0.12072642820684999,0.14366659630043987,6.5481256736148055,0.9896103896103896,-0.13896103896103898,-0.8935064935064935,-0.39090909090909093,lm020_ls080_le000,lm040_ls000_le060,lm080_ls020_le000,16,0,0,0,1.3005604805649102,0.03577286759580989,0
semantic_plus_probe,rough_seed_4,81,84,672,3,0.003193522337824106,0.00443889367153318,0.0011688658931796477,0.36949152573580823,0.023020559903160733,0.02595143853613266,2.587846878751724,0.9402597402597404,0.13506493506493505,0.9558441558441559,-0.0012987012987012987,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,11,0,0,0,10.634846983014494,0.167424333212578,0
semantic_plus_probe,rough_seed_25,81,84,672,3,0.0032058332581073046,0.0043991507359274935,0.0011336517364317522,0.366680387755109,0.06221384421073723,0.08093627211083043,9.529268033012503,0.9909090909090909,-0.2753246753246753,-0.04805194805194805,0.287012987012987,lm040_ls040_le020,lm020_ls060_le020,lm080_ls020_le000,17,0,0,0,0.4499638823711094,0.2333729512036904,0
semantic_plus_probe,rough_seed_12,81,84,672,3,0.003195179160684347,0.004661723538578338,0.001142491221118306,0.36866857369639466,0.17503181936789633,0.09224002032218961,13.889822179382165,0.9974025974025975,-0.22207792207792207,-0.3077922077922078,-0.02077922077922078,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,13,0,0,0,0.38840714958114364,0.27336439191352324,0
semantic_plus_probe,rough_seed_6,81,84,672,3,0.003254746630166968,0.00457871787681408,0.0011506186388244616,0.3699980920434106,0.1222933625883619,0.04538892789607485,4.468674825225967,0.9636363636363635,-0.5909090909090908,-0.18311688311688312,-0.48441558441558447,lm000_ls080_le020,lm020_ls000_le080,lm080_ls020_le000,20,0,0,0,0.9299784517517843,0.19646303752110775,0
semantic_plus_probe,rough_seed_29,81,84,672,3,0.003458819662531217,0.004819178656710257,0.0011722935931636296,0.3830840751044037,0.17185335222426726,0.14777751058306027,16.36827805156284,0.9415584415584415,-0.8220779220779221,-0.7168831168831169,-0.6220779220779221,lm060_ls040_le000,lm000_ls060_le040,lm080_ls020_le000,14,0,0,0,0.7111421579808308,0.01807345113361848,0
semantic_plus_probe,rough_seed_18,81,84,672,3,0.00356881918075184,0.004360327863408872,0.0011481315958308074,0.37071502505803433,0.23182170921412043,0.15947303893410333,7.030285168910152,0.9467532467532468,-0.6142857142857143,-0.5298701298701299,-0.1948051948051948,lm000_ls100_le000,lm000_ls060_le040,lm080_ls020_le000,14,0,0,0,8.892160563801507,1.6530904404215563,0
