decision_index,pair_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,alternative_beta_name,delta_cost_motion,delta_cost_stability,delta_cost_energy,feasible_choice_count,decision_weight,pair_weight
59,0,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011385505444421061,cost_energy,0.5449890221341465,motion,balanced,0.004773720675136928,0.00018181672607294093,-0.006751833998245083,2,0.16666666666666666,0.16666666666666666
62,0,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011459994923857209,cost_energy,0.5382371881359014,balanced,stability,0.005385834171766496,7.448947943614753e-05,-0.008195005507465658,2,0.16666666666666666,0.16666666666666666
63,0,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011459994923857209,cost_energy,0.5449890221341465,motion,balanced,0.004773720675136928,0.00018181672607294093,-0.006751833998245083,3,0.16666666666666666,0.08333333333333333
63,1,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011459994923857209,cost_energy,0.5449890221341465,motion,stability,0.010159554846903424,0.00025630620550908846,-0.01494683950571074,3,0.16666666666666666,0.08333333333333333
65,0,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5336275714751569,energy,stability,0.0021772732882536228,-1.739549610344643e-05,-0.003585388846721216,2,0.16666666666666666,0.16666666666666666
66,0,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5382371881359014,balanced,stability,0.005385834171766496,7.448947943614753e-05,-0.008195005507465658,3,0.16666666666666666,0.08333333333333333
66,1,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5382371881359014,balanced,energy,0.003208560883512873,9.188497553959396e-05,-0.004609616660744442,3,0.16666666666666666,0.08333333333333333
67,0,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5449890221341465,motion,balanced,0.004773720675136928,0.00018181672607294093,-0.006751833998245083,4,0.16666666666666666,0.05555555555555555
67,1,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5449890221341465,motion,stability,0.010159554846903424,0.00025630620550908846,-0.01494683950571074,4,0.16666666666666666,0.05555555555555555
67,2,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,cost_stability,0.011477390419960655,cost_energy,0.5449890221341465,motion,energy,0.0079822815586498,0.0002737017016125349,-0.011361450658989525,4,0.16666666666666666,0.05555555555555555
