decision_index,context_id,group,terrain,seed,mission,primary_metric,constraint_1,constraint_1_budget,constraint_2,constraint_2_budget,selected_beta_name,selected_cost_motion,selected_cost_stability,selected_cost_energy,selected_primary_value,good_candidate_count,feasible_choice_count,comparison_count,informative,decision_weight
104,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,6.948000000000003,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,0.011159301583463073,4,1,0,0,0.0
105,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,6.951999999999999,cost_energy,0.5393894403225634,balanced,0.2035325858964294,0.011291397168657449,0.5393894403225634,0.011291397168657449,4,1,0,0,0.0
106,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,6.951999999999999,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,0.011159301583463073,4,2,1,1,0.16666666666666666
107,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.152000000000001,cost_energy,0.534863992924077,energy,0.2066347340890774,0.011470684987346573,0.534863992924077,0.011470684987346573,4,1,0,0,0.0
108,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.152000000000001,cost_energy,0.5393894403225634,balanced,0.2035325858964294,0.011291397168657449,0.5393894403225634,0.011291397168657449,4,2,1,1,0.16666666666666666
109,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.152000000000001,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,0.011159301583463073,4,3,2,1,0.16666666666666666
110,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5254755691606684,stability,0.2085849235270693,0.01151046388330626,0.5254755691606684,0.01151046388330626,4,1,0,0,0.0
111,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.534863992924077,energy,0.2066347340890774,0.011470684987346573,0.534863992924077,0.011470684987346573,4,2,1,1,0.16666666666666666
112,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5393894403225634,balanced,0.2035325858964294,0.011291397168657449,0.5393894403225634,0.011291397168657449,4,3,2,1,0.16666666666666666
113,flat_train:flat:27103,flat_train,flat,27103,stable,cost_stability,decision_time_s,7.192,cost_energy,0.5446378660009256,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,0.011159301583463073,4,4,3,1,0.16666666666666666
114,flat_train:flat:27103,flat_train,flat,27103,efficient,cost_energy,decision_time_s,6.948000000000003,cost_stability,0.011159301583463073,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,0.5446378660009256,4,1,0,0,0.0
