posterior_id,context_id,terrain,seed,mission,unique_signature_count,expressible_signature_count,posterior_mean_motion,posterior_mean_stability,posterior_mean_energy,posterior_std_motion,posterior_std_stability,posterior_std_energy,posterior_map_motion,posterior_map_stability,posterior_map_energy,posterior_entropy_nats,posterior_entropy_normalized,posterior_information_gain_nats,posterior_effective_fraction,source_balanced_count,source_motion_count,source_stability_count,source_energy_count
67,low_friction_train:low_friction:27204,low_friction,27204,fast,6,6,0.6965023948438036,0.2320909410381566,0.0714066641180395,0.18131426165422007,0.18668866161234868,0.06230513463044728,1.0,0.0,0.0,7.0978080879637995,0.8304496089898213,1.4491380616017855,0.23477256039279357,2,3,0,1
68,low_friction_train:low_friction:27204,low_friction,27204,stable,6,6,0.44635093081872074,0.44580233934940267,0.10784672983187538,0.2165829669567475,0.2506653837953609,0.08325247084232723,0.25,0.75,0.0,7.718284438528817,0.9030458719950065,0.8286617110367676,0.43663323692901607,0,3,0,3
69,low_friction_train:low_friction:27205,low_friction,27205,efficient,2,2,0.20129578318103586,0.29018868007158727,0.5085155367473776,0.15346652134957695,0.2160709594124836,0.20842588352248015,0.0,0.0,1.0,8.164510655126408,0.9552547204876662,0.3824354944391768,0.6821978951149977,1,0,0,1
70,low_friction_train:low_friction:27205,low_friction,27205,fast,3,2,0.34322339327624546,0.5036324650480247,0.1531441416757306,0.21482903184454505,0.2606636883437512,0.1064752232658027,0.0,1.0,0.0,7.958011046507831,0.9310940898945892,0.5889351030577537,0.5549179005817159,3,0,0,0
71,low_friction_train:low_friction:27205,low_friction,27205,stable,3,3,0.6259495256511913,0.28854881272145555,0.08550166162735363,0.21594024908385384,0.22428875401259804,0.07183472425176746,1.0,0.0,0.0,7.446780133370004,0.8712796363819961,1.1001660161955806,0.332815826294084,1,2,0,0
72,low_friction_train:low_friction:27206,low_friction,27206,efficient,3,3,0.16276825261061262,0.2858814919784807,0.5513502554109043,0.13125625136181723,0.2115109840500228,0.20606985363814906,0.0,0.0,1.0,7.983053715233199,0.934024103526024,0.5638924343323861,0.5689899916758466,1,0,1,1
73,low_friction_train:low_friction:27206,low_friction,27206,fast,6,6,0.6744847431117673,0.26043255708290514,0.06508269980532806,0.19249456288271807,0.20036548582015196,0.05603601493963226,1.0,0.0,0.0,7.095557466133702,0.8301862843132979,1.4513886834318832,0.23424477029400917,2,3,1,0
74,low_friction_train:low_friction:27206,low_friction,27206,stable,6,6,0.6744847431117673,0.26043255708290514,0.06508269980532806,0.19249456288271807,0.20036548582015196,0.05603601493963226,1.0,0.0,0.0,7.095557466133702,0.8301862843132979,1.4513886834318832,0.23424477029400917,2,3,1,0
75,low_friction_train:low_friction:27207,low_friction,27207,efficient,2,2,0.19933315339567853,0.2889326582953744,0.5117341883089445,0.1529512304830103,0.21558981187797432,0.20871577003985867,0.0,0.0,1.0,8.156827972339158,0.9543558400392805,0.3901181772264266,0.6769768665222567,1,0,0,1
76,low_friction_train:low_friction:27207,low_friction,27207,fast,3,3,0.36660372988562345,0.3690585679541865,0.26433770216019037,0.19711394350192418,0.24879452227773283,0.13955251028127055,0.64,0.0,0.36,8.204101770374582,0.9598869147890409,0.3428443791910034,0.7097486546261831,3,0,0,0
77,low_friction_train:low_friction:27207,low_friction,27207,stable,3,3,0.6237520326247769,0.2909387131445525,0.08530925423067066,0.21645865056727434,0.22525465533471772,0.0717458037302813,1.0,0.0,0.0,7.449747119917534,0.8716267763423526,1.097199029648051,0.3338047527137348,1,2,0,0
78,low_friction_train:low_friction:27208,low_friction,27208,efficient,5,5,0.12389610717511719,0.23588470430332376,0.6402191885215589,0.10330512594357359,0.18134927424440267,0.17906545639938637,0.0,0.0,1.0,7.589206750390924,0.8879436722292512,0.9577393991746606,0.3837594330386399,1,0,2,2
79,low_friction_train:low_friction:27208,low_friction,27208,fast,5,5,0.6696814606209468,0.23823681254322854,0.09208172683582484,0.1837242250950428,0.1904606697510821,0.07637524894959244,1.0,0.0,0.0,7.337135473127104,0.8584511174789639,1.2098106764384813,0.29825374054540527,1,3,0,1
80,low_friction_train:low_friction:27208,low_friction,27208,stable,6,6,0.4362591896080621,0.4821330457255218,0.0816077646664176,0.22339085691630436,0.24512052637536652,0.07189448154828539,0.29,0.71,0.0,7.564631195883025,0.8850683113602525,0.9823149536825602,0.3744432759135166,0,3,0,3
81,low_friction_train:low_friction:27209,low_friction,27209,efficient,5,5,0.14603391072086952,0.22912008197410202,0.6248460073050307,0.11663933039748475,0.17920693999348528,0.17754259438038672,0.0,0.0,1.0,7.697280647744457,0.900588410532537,0.8496655018211277,0.427557925379274,1,0,2,2
82,low_friction_train:low_friction:27209,low_friction,27209,fast,5,5,0.689560838440876,0.23201427016601675,0.07842489139310746,0.17963782930058772,0.18713433029714927,0.0660569149977176,1.0,0.0,0.0,7.164588039666033,0.838262920380069,1.3823581098995517,0.2509860021079863,1,3,0,1
83,low_friction_train:low_friction:27209,low_friction,27209,stable,6,6,0.46706046864164485,0.43758528675196684,0.09535424460638986,0.21968958705244285,0.2484579892151504,0.07804378842243224,0.3,0.7,0.0,7.647077031499304,0.8947145445496906,0.899869118066281,0.40662287584629475,0,3,0,3
84,low_friction_train:low_friction:27210,low_friction,27210,efficient,5,5,0.14299774170448137,0.237959418257938,0.6190428400375816,0.11411711475574772,0.18351010453133038,0.17948045669222318,0.0,0.0,1.0,7.703654112193715,0.9013341113170893,0.84329203737187,0.4302916530207448,1,0,4,0
85,low_friction_train:low_friction:27210,low_friction,27210,fast,6,6,0.5698989431369256,0.2669458969143289,0.16315515994874535,0.17188944682728063,0.20838959890840025,0.09289063526437201,0.74,0.0,0.26,7.616583409551011,0.8911467647351609,0.9303627400145738,0.3944106159075637,3,2,1,0
86,low_friction_train:low_friction:27210,low_friction,27210,stable,5,5,0.3872253549606269,0.5178868003540887,0.09488784468528384,0.2122428119316812,0.24779885477553285,0.07743754315250213,0.18,0.82,0.0,7.58826201778426,0.8878331377073141,0.9586841317813253,0.38339705419164205,0,3,2,0
87,low_friction_train:low_friction:27211,low_friction,27211,efficient,6,6,0.14422462070365716,0.2455839010614578,0.6101914782348861,0.11661557224326546,0.1859114940962873,0.18249061671091177,0.0,0.0,1.0,7.739631614383678,0.9055435098040322,0.8073145351819067,0.44605432244190035,1,0,4,1
88,low_friction_train:low_friction:27211,low_friction,27211,fast,4,4,0.5063643614587406,0.35496349545067,0.1386721430905893,0.21383497075890115,0.2407182425298588,0.0947734671197481,0.65,0.18,0.17,7.874288320138826,0.921298459396407,0.6726578294267593,0.5103503494397604,3,0,1,0
89,low_friction_train:low_friction:27211,low_friction,27211,stable,6,6,0.38833459514603214,0.5398028329083758,0.07186257194559266,0.21188683046881018,0.23896004289309594,0.06301917405261429,0.21,0.79,0.0,7.359725607996573,0.8610941825543905,1.1872205415690118,0.305068010627313,5,0,0,1
90,low_friction_train:low_friction:27212,low_friction,27212,efficient,3,3,0.18749691703467303,0.26589028902068984,0.5466127939446378,0.143228743978124,0.20772403949851426,0.2114325295028526,0.13,0.0,0.87,8.08269052974605,0.9456816959302905,0.4642556198195358,0.6286028505811989,0,1,0,2
91,low_friction_train:low_friction:27212,low_friction,27212,fast,3,3,0.5844732132204971,0.2772241442882072,0.13830264249129479,0.21128404907596812,0.21460557027880278,0.11225570274284932,1.0,0.0,0.0,7.855125068035627,0.9190563425317567,0.6918210815299579,0.5006634893440504,1,2,0,0
92,low_friction_train:low_friction:27212,low_friction,27212,stable,3,3,0.16866824318462642,0.5368120388398536,0.29451971797552123,0.13582902014467585,0.24661061815251173,0.19957066913587196,0.0,0.99,0.01,8.064975541897997,0.9436090272205488,0.4819706076675878,0.6175652131799543,2,0,0,1
93,low_friction_train:low_friction:27213,low_friction,27213,efficient,4,4,0.1261690875157447,0.247605260669998,0.6262256518142573,0.10695801240735228,0.19448755070915985,0.194393538016763,0.0,0.0,1.0,7.679688769848302,0.8985301457923234,0.8672573797172829,0.420102151375215,1,0,2,1
94,low_friction_train:low_friction:27213,low_friction,27213,fast,6,6,0.46767500549297925,0.2564874614905642,0.27583753301645586,0.16904569745982428,0.2103658939898909,0.11993305589844112,0.65,0.0,0.35,7.878580726603795,0.921800674619231,0.6683654229617897,0.5125456888529256,5,0,0,1
95,low_friction_train:low_friction:27213,low_friction,27213,stable,6,6,0.6751430997808674,0.25474587601205134,0.07011102420708169,0.19168157583243556,0.1993495317454029,0.060012456494622925,1.0,0.0,0.0,7.150700816910597,0.8366381034557057,1.3962453326549884,0.2475245938906622,2,3,1,0
