context_id,context_index,preference_name,preference_index,w_motion,w_stability,w_energy,selected_beta_name,selected_beta_motion,selected_beta_stability,selected_beta_energy,selected_lambda_motion,selected_lambda_stability,selected_lambda_energy,selected_J_motion_s_per_m,selected_J_stability,selected_J_energy_j_per_m,selected_regret_motion,selected_regret_stability,selected_regret_energy,scalarization_score,pareto_count,pareto_ideal_motion,pareto_ideal_stability,pareto_ideal_energy,pareto_nadir_motion,pareto_nadir_stability,pareto_nadir_energy,pareto_span_motion,pareto_span_stability,pareto_span_energy,source_stage
low_friction,1,wm080_ws020_we000,1,0.8,0.2,0.0,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.14715371838318086,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm080_ws000_we020,2,0.8,0.0,0.2,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.09745181568020124,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm060_ws040_we000,3,0.6,0.4,0.0,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.547219700831385,0.25017519271203076,110.62720484327328,0.289373254786527,0.2926366484276484,0.8196512287900357,0.17653073899434593,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm060_ws020_we020,4,0.6,0.2,0.2,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.544679391626769,0.2505255781359973,110.59918496615518,0.19743323458139905,0.49953124096951407,0.6755708048303816,0.1386489644651645,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm060_ws000_we040,5,0.6,0.0,0.4,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.09265761696232633,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm040_ws060_we000,6,0.4,0.6,0.0,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.550188003922176,0.24997079780404255,110.6622779661086,0.39680342338423646,0.17194612218620497,1.0,0.16134025978034877,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm040_ws040_we020,7,0.4,0.4,0.2,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.547219700831385,0.25017519271203076,110.62720484327328,0.289373254786527,0.2926366484276484,0.8196512287900357,0.16789758782844394,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm040_ws020_we040,8,0.4,0.2,0.4,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.14758380753593622,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm040_ws000_we060,9,0.4,0.0,0.6,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.542541160232466,0.2509052680762073,110.51206006721317,0.12004539642447351,0.7237294812464607,0.22756768461331556,0.1383861984613671,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
low_friction,1,wm020_ws080_we000,10,0.2,0.8,0.0,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.550188003922176,0.24997079780404255,110.6622779661086,0.39680342338423646,0.17194612218620497,1.0,0.1397260735732221,6,4.539224297512309,0.2496795992077843,110.4678040997217,4.566854367627028,0.25137314479378425,110.6622779661086,0.02763007011471874,0.0016935455859999615,0.19447386638690034,T5.5d_frozen_regression
