context_id,context_index,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,J_motion_s_per_m,J_stability,J_energy_j_per_m,regret_motion,regret_stability,regret_energy
rough_seed_5,6,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.56106318238009,0.30587993711184597,130.44827963095483,0.021444675661092844,0.8269887794994444,0.12481203115444141
rough_seed_5,6,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,4.591705199461795,0.3035067834585496,130.4284871977752,0.27653976501319666,0.5996674772349548,0.1155057124866261
rough_seed_5,6,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,4.674349214867922,0.29847847847419134,131.98833028748822,0.9645519946986142,0.11801268187873186,0.8489373594661518
rough_seed_5,6,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,4.558862993114888,0.30690562201525873,130.7636973927146,0.003128078692242339,0.9252378025380285,0.273120133437101
rough_seed_5,6,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,4.586847093481501,0.30373403375927743,130.2614428023047,0.2360959856164134,0.6214354880123838,0.03696214172838561
rough_seed_5,6,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,4.673487603690266,0.29859334747204636,132.07553488713728,0.957379073289271,0.1290158338010473,0.8899405947060274
rough_seed_5,6,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,4.57731125658655,0.30450954273916286,130.1828326937916,0.1567100509934277,0.6957204846793676,0.0
rough_seed_5,6,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,4.668107858671286,0.2989377143697973,131.84157939137472,0.9125926438368941,0.16200229110219883,0.7799357065806363
rough_seed_5,6,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,4.558487248364316,0.3076861128019467,130.90256171077053,0.0,1.0,0.33841355055714795
rough_seed_5,6,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,4.572807844820676,0.3048570911750809,130.3139159140471,0.1192191043712831,0.72901169738409,0.06163477772694636
rough_seed_5,6,lm000_ls060_le040,0.15,0.48,0.37,0.0,0.6,0.4,4.669058054775825,0.2983451839334453,132.30960632857662,0.9205030356215846,0.10524457116451238,1.0
rough_seed_5,6,lm000_ls040_le060,0.15,0.37,0.48,0.0,0.4,0.6,4.6786072285628,0.2972464679923494,131.1848392111664,1.0,0.0,0.4711392416128446
rough_seed_11,7,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.474104281542436,0.3232691364021935,125.58108606689088,0.0,1.0,0.9867217581158748
rough_seed_11,7,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.475787840294142,0.32319988892135254,125.58508642795526,0.1044738970797617,0.9828108568617011,1.0
rough_seed_11,7,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.488631065649316,0.31924057719573234,125.37643516309728,0.9014652717905363,0.0,0.3074320243543387
rough_seed_11,7,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,4.490218916860584,0.3192968942550605,125.28381453523822,1.0,0.013979454301641594,0.0
rough_seed_4,8,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,4.625549702410184,0.22284068813209168,121.5888482161748,0.0,1.0,1.0
rough_seed_4,8,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,4.625746297597826,0.22282333007507935,121.30480247817712,0.18915602948294466,0.9857261174473378,0.12286247807930432
rough_seed_4,8,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,4.6256119816452355,0.22224542110427503,121.31433315768827,0.05992258998256064,0.5104998424368907,0.15229336011807562
rough_seed_4,8,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,4.626589030567893,0.2216246169651689,121.26501560053696,1.0,0.0,0.0
rough_seed_25,9,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,4.582541332167897,0.2343751363619884,114.70234306169228,0.0,0.7772639353034957,0.07821826428738247
rough_seed_25,9,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,4.592098209958459,0.23253509981642262,114.76623275150263,0.15418850660114294,0.3771999233653677,0.21967237451968413
rough_seed_25,9,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,4.593674575208797,0.23252083835972445,114.78197441791437,0.17962122732167546,0.3740991721349098,0.254524999762605
rough_seed_25,9,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,4.606637583534736,0.23080022333849481,115.02019208573412,0.38876347426017205,0.0,0.7819476299722942
rough_seed_25,9,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,4.597132732413069,0.23194651633673324,114.70347508056658,0.23541435417794485,0.24922905843201265,0.08072459548269413
rough_seed_25,9,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,4.604267674301097,0.23187073679260028,115.11867843060317,0.35052789423884134,0.23275293543231854,1.0
