context_id,group,terrain,seed,beta_name,pareto_nondominated,support_class,max_margin,beta_hat_motion,beta_hat_stability,beta_hat_energy,beta_gen_motion,beta_gen_stability,beta_gen_energy,original_beta_selected_cost,original_beta_best_cost,original_beta_regret,original_beta_consistent
flat_train:flat:27110,flat_train,flat,27110,energy,True,strict,8.278189578562935e-07,0.0,0.9789413159822564,0.021058684017743676,0.15,0.15,0.7,0.40593375006838917,0.40204282854913714,0.003890921519252022,False
flat_train:flat:27111,flat_train,flat,27111,balanced,True,unsupported,-8.09143436063798e-05,0.0,0.9809238308919784,0.019076169108021557,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2510631938317367,0.24840073085643025,0.002662462975306451,False
flat_train:flat:27111,flat_train,flat,27111,motion,True,strict,0.004911877991177177,1.0,-0.0,0.0,0.7,0.15,0.15,0.2220822629862803,0.2220822629862803,0.0,True
flat_train:flat:27111,flat_train,flat,27111,stability,True,strict,0.009694036882672452,0.0,0.0,1.0,0.15,0.7,0.15,0.1181186506799807,0.1181186506799807,0.0,True
flat_train:flat:27111,flat_train,flat,27111,energy,True,unsupported,-0.00012080647750283997,0.0,0.9809238308919785,0.01907616910802156,0.15,0.15,0.7,0.4071492391237629,0.4006392479642831,0.006509991159479811,False
flat_train:flat:27112,flat_train,flat,27112,balanced,True,unsupported,-8.3195216276373e-05,0.0,0.9764050868766622,0.023594913123337776,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25145966387480356,0.2501792607692308,0.0012804031055727583,False
flat_train:flat:27112,flat_train,flat,27112,motion,True,strict,0.0044295774227937346,1.0,-0.0,0.0,0.7,0.15,0.15,0.221970599699441,0.221970599699441,0.0,True
flat_train:flat:27112,flat_train,flat,27112,stability,True,strict,0.0001626242078461848,0.0,0.0,1.0,0.15,0.7,0.15,0.11910286065909843,0.1188467196000968,0.0002561410590016383,False
flat_train:flat:27112,flat_train,flat,27112,energy,True,strict,0.0006907546253206368,0.4848513380116224,0.0,0.5151486619883776,0.15,0.15,0.7,0.40516073477907494,0.40516073477907494,0.0,True
flat_train:flat:27113,flat_train,flat,27113,balanced,True,strict,0.00037362973602777383,0.6485824054232033,0.0,0.3514175945767968,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24950359315446102,0.24873735578079725,0.0007662373736637695,False
flat_train:flat:27113,flat_train,flat,27113,motion,True,strict,0.005447865083527986,1.0,0.0,0.0,0.7,0.15,0.15,0.22216097868525553,0.22216097868525553,0.0,True
flat_train:flat:27113,flat_train,flat,27113,stability,True,strict,0.0068722207591499496,0.0,0.0,1.0,0.15,0.7,0.15,0.1182544870835153,0.1182544870835153,0.0,True
flat_train:flat:27113,flat_train,flat,27113,energy,True,unsupported,-0.00025319961822339534,0.0,0.9563932844830657,0.04360671551693437,0.15,0.15,0.7,0.4062081723785046,0.4016101267430508,0.004598045635453796,False
flat_train:flat:27114,flat_train,flat,27114,balanced,True,unsupported,-0.00011890384589858814,0.0,0.9901467518155667,0.0098532481844333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2509884238519636,0.2478712288802773,0.0031171949716863323,False
flat_train:flat:27114,flat_train,flat,27114,motion,True,strict,0.00482807866848492,1.0,-0.0,0.0,0.7,0.15,0.15,0.2224003792154174,0.2224003792154174,0.0,True
flat_train:flat:27114,flat_train,flat,27114,stability,True,strict,0.009581731153072814,0.0,-0.0,1.0,0.15,0.7,0.15,0.11779754390466537,0.11779754390466537,0.0,True
flat_train:flat:27114,flat_train,flat,27114,energy,True,unsupported,-0.00025927062132182366,0.0,0.9901467518155667,0.009853248184433281,0.15,0.15,0.7,0.40591607319874634,0.399588975006805,0.006327098191941327,False
flat_train:flat:27115,flat_train,flat,27115,balanced,True,strict,0.0001233042402881443,0.0,0.9784878307071849,0.02151216929281514,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2504160520736759,0.24926772722698365,0.0011483248466922502,False
flat_train:flat:27115,flat_train,flat,27115,motion,True,strict,0.004567226789270129,1.0,-0.0,0.0,0.7,0.15,0.15,0.22222339378726552,0.22222339378726552,0.0,True
flat_train:flat:27115,flat_train,flat,27115,stability,True,strict,0.004179001816794536,0.0,0.0,1.0,0.15,0.7,0.15,0.11853269239711331,0.11853269239711331,0.0,True
flat_train:flat:27115,flat_train,flat,27115,energy,True,unsupported,-4.979370732822007e-05,0.0,0.9637975670103961,0.036202432989603885,0.15,0.15,0.7,0.4051590786001523,0.4025307423530546,0.00262833624709774,False
flat_train:flat:27116,flat_train,flat,27116,balanced,True,unsupported,-0.0002037132733206089,0.0,0.9699369372011996,0.030063062798800375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2500760536421607,0.24859471706859781,0.0014813365735628636,False
flat_train:flat:27116,flat_train,flat,27116,motion,True,strict,0.004329111672492697,1.0,-0.0,0.0,0.7,0.15,0.15,0.22137714330631458,0.22137714330631458,0.0,True
flat_train:flat:27116,flat_train,flat,27116,stability,True,strict,0.003929888035372753,0.0,-0.0,1.0,0.15,0.7,0.15,0.11820119256244113,0.11820119256244113,0.0,True
flat_train:flat:27116,flat_train,flat,27116,energy,True,unsupported,-0.00012211424297875893,0.0,0.9699369372011997,0.03006306279880038,0.15,0.15,0.7,0.4036061067377878,0.4010782468915857,0.002527859846202074,False
flat_train:flat:27117,flat_train,flat,27117,balanced,True,unsupported,-5.9158951247852886e-05,0.0,0.9874843938314803,0.01251560616851972,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25043243454916747,0.2495009859328084,0.0009314486163590763,False
flat_train:flat:27117,flat_train,flat,27117,motion,True,strict,0.004556680437729749,1.0,-0.0,0.0,0.7,0.15,0.15,0.22219821783947674,0.22219821783947674,0.0,True
flat_train:flat:27117,flat_train,flat,27117,stability,True,strict,0.004863829760012428,0.0,-0.0,1.0,0.15,0.7,0.15,0.11853241143485771,0.11853241143485771,0.0,True
flat_train:flat:27117,flat_train,flat,27117,energy,True,unsupported,-0.00017538298933333907,0.0,0.9874843938314802,0.012515606168519718,0.15,0.15,0.7,0.40620744092822353,0.403070673861267,0.003136767066956536,False
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,balanced,True,strict,0.0012137694932858646,0.6250811274741678,0.0,0.3749188725258323,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2646099363691976,0.2646099363691976,0.0,True
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,motion,True,strict,0.003781594518542042,1.0,-0.0,0.0,0.7,0.15,0.15,0.23035682869148089,0.23035682869148089,0.0,True
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,stability,True,strict,0.003343780422378706,0.0,-0.0,1.0,0.15,0.7,0.15,0.12457506472138574,0.1244783989436915,9.666577769423812e-05,False
low_friction_train:low_friction:27200,low_friction_train,low_friction,27200,energy,True,unsupported,-0.0001376166626629535,0.0,0.9689384808139885,0.031061519186011233,0.15,0.15,0.7,0.4370349888275866,0.43489338545057177,0.0021416033770148557,False
